grn_line_id,grn_id,po_line_id,item_id,qty_received,quality_status
146,37,146,341,342,Good Condition
147,37,147,561,149,Service Accepted
148,38,148,285,486,Good Condition
149,38,149,232,189,Good Condition
150,38,150,54,46,Good Condition
151,39,151,529,114,Service Accepted
152,39,152,138,263,Good Condition
153,39,153,342,134,Service Accepted
154,39,154,351,48,Service Accepted
155,39,155,132,463,Service Accepted
156,39,156,364,214,Service Accepted
157,40,157,450,361,Good Condition
158,40,158,441,33,Good Condition
159,40,159,471,348,Good Condition
160,40,160,273,439,Good Condition
161,40,161,469,310,Good Condition
162,41,162,70,238,Good Condition
163,41,163,81,422,Good Condition
164,41,164,582,360,Good Condition
165,41,165,418,202,Good Condition
166,41,166,562,104,Good Condition
167,42,167,558,195,Rejected - Quality Failure
168,42,168,391,66,Rejected - Quality Failure
169,42,169,262,222,Good Condition
170,43,170,207,154,Good Condition
171,43,171,83,188,Good Condition
172,43,172,313,133,Service Accepted
173,43,173,261,471,Good Condition
174,43,174,536,46,Good Condition
175,43,175,561,180,Service Accepted
176,44,176,87,396,Good Condition
177,44,177,345,280,Good Condition
178,44,178,456,187,Good Condition
179,45,179,249,331,Good Condition
180,45,180,359,343,Good Condition
181,45,181,43,407,Good Condition
182,46,182,203,368,Good Condition
183,46,183,345,278,Good Condition
184,46,184,568,293,Screen Damaged
185,46,185,393,284,Good Condition
186,46,186,524,427,Good Condition
187,46,187,455,135,Good Condition
188,46,188,538,152,Good Condition
189,47,189,408,406,Good Condition
190,47,190,541,327,Good Condition
191,47,191,80,266,Good Condition
192,47,192,70,342,Good Condition
193,47,193,50,380,Good Condition
194,47,194,445,132,Good Condition
195,48,195,202,312,Good Condition
196,48,196,481,454,Good Condition
197,48,197,553,130,Good Condition
198,48,198,235,288,Good Condition
199,49,199,181,278,Service Accepted
200,50,200,205,354,Good Condition
201,50,201,194,203,Good Condition
202,51,202,293,402,Good Condition
203,51,203,462,230,Minor Defect - Accepted
204,51,204,15,89,Good Condition
205,51,205,301,393,Good Condition
206,51,206,445,264,Good Condition
207,51,207,319,463,Good Condition
208,52,208,392,78,Good Condition
209,52,209,30,423,Good Condition
210,52,210,182,200,Good Condition
211,53,211,549,318,Service Accepted
212,53,212,431,131,Good Condition
213,54,213,153,131,Good Condition
214,54,214,493,336,Good Condition
215,54,215,129,25,Good Condition
216,54,216,243,156,Good Condition
217,54,217,562,244,Good Condition
218,55,218,70,52,Good Condition
219,55,219,309,218,Good Condition
220,55,220,42,199,Good Condition
221,55,221,368,82,Good Condition
222,55,222,203,78,Good Condition
223,56,223,291,394,Good Condition
224,56,224,391,132,Good Condition
225,56,225,597,297,Good Condition
226,56,226,165,471,Good Condition
227,56,227,175,415,Good Condition
228,56,228,293,382,Good Condition
229,57,229,489,174,Good Condition
230,57,230,239,237,Good Condition
231,57,231,165,425,Good Condition
232,58,232,56,281,Good Condition
233,58,233,188,409,Good Condition
234,58,234,433,439,Good Condition
235,58,235,275,406,Good Condition
236,58,236,566,230,Good Condition
237,59,237,319,444,Good Condition
238,59,238,28,26,Good Condition
239,59,239,577,393,Good Condition
240,59,240,548,312,Good Condition
241,59,241,469,166,Good Condition
242,59,242,391,180,Good Condition
243,60,243,275,175,Good Condition
244,60,244,433,129,Good Condition
245,60,245,566,216,Good Condition
246,60,246,375,132,Good Condition
247,60,247,188,155,Good Condition
248,60,248,56,105,Good Condition
249,61,249,473,407,Service Accepted
250,61,250,39,360,Service Accepted
251,61,251,361,196,Service Accepted
252,61,252,156,38,Service Accepted
253,62,253,381,203,Service Accepted
254,62,254,498,445,Service Accepted
255,62,255,281,73,Service Accepted
256,62,256,430,422,Service Accepted
257,62,257,457,266,Service Accepted
258,62,258,348,354,Service Accepted
259,62,259,296,51,Service Accepted
260,63,260,70,35,Good Condition
261,63,261,205,319,Good Condition
262,63,262,312,48,Good Condition
263,63,263,494,285,Good Condition
264,64,264,150,473,Good Condition
265,64,265,462,60,Good Condition
266,64,266,242,47,Good Condition
267,64,267,205,78,Good Condition
268,65,268,220,447,Service Accepted
269,65,269,289,174,Service Accepted
270,65,270,498,330,Service Accepted
271,65,271,241,114,Service Accepted
272,66,272,42,39,Good Condition
273,67,273,372,453,Good Condition
274,67,274,273,27,Good Condition
275,67,275,75,265,Good Condition
276,68,276,349,315,Good Condition
277,68,277,103,59,Good Condition
278,68,278,126,48,Good Condition
279,68,279,146,343,Good Condition
280,69,280,577,391,Good Condition
281,69,281,375,431,Good Condition
282,69,282,60,210,Good Condition
283,69,283,157,255,Good Condition
284,70,284,480,229,Good Condition
285,70,285,23,430,Good Condition
286,70,286,217,315,Good Condition
287,70,287,318,377,Good Condition
288,70,288,543,223,Good Condition
289,71,289,300,160,Good Condition
290,71,290,265,413,Good Condition
291,71,291,553,103,Good Condition
292,71,292,483,351,Good Condition
293,71,293,129,146,Good Condition
294,72,294,276,91,Service Accepted
295,72,295,467,105,Service Accepted
296,72,296,241,132,Service Accepted
297,72,297,220,389,Service Accepted
298,73,298,321,435,Good Condition
299,73,299,372,411,Wrong Item Sent
300,73,300,47,99,Good Condition
301,73,301,481,425,Good Condition
302,73,302,407,464,Good Condition
303,73,303,505,310,Good Condition
304,74,304,70,286,Good Condition
305,74,305,312,270,Good Condition
306,74,306,192,475,Good Condition
307,75,307,580,467,Good Condition
308,75,308,570,311,Good Condition
309,75,309,319,205,Dead on Arrival (DOA)
310,75,310,519,376,Good Condition
311,75,311,426,319,Good Condition
312,75,312,578,233,Good Condition
313,76,313,318,210,Good Condition
314,76,314,217,348,Minor Defect - Accepted
315,76,315,530,179,Good Condition
316,76,316,543,234,Good Condition
317,77,317,364,482,Service Accepted
318,77,318,279,301,Service Accepted
319,77,319,434,484,Service Accepted
320,77,320,173,36,Service Accepted
321,77,321,348,204,Service Incomplete
322,77,322,289,319,Service Incomplete
323,77,323,258,422,Service Accepted
324,77,324,347,422,Service Accepted
325,78,325,196,37,Rejected - Quality Failure
326,79,326,187,363,Good Condition
327,79,327,392,244,Good Condition
328,79,328,25,49,Good Condition
329,80,329,550,149,Good Condition
330,80,330,481,409,Good Condition
331,80,331,175,426,Good Condition
332,80,332,409,243,Good Condition
333,80,333,317,30,Good Condition
334,80,334,210,97,Good Condition
335,80,335,255,26,Good Condition
336,81,336,272,73,Good Condition
337,81,337,591,184,Dead on Arrival (DOA)
338,81,338,119,203,Good Condition
339,81,339,16,348,Good Condition
340,81,340,446,350,Good Condition
341,81,341,91,482,Good Condition
342,81,342,368,415,Good Condition
343,82,343,513,17,Good Condition
344,82,344,560,493,Good Condition
345,82,345,21,377,Good Condition
346,82,346,237,110,Good Condition
347,82,347,390,118,Good Condition
348,82,348,243,263,Good Condition
349,82,349,360,332,Good Condition
350,82,350,488,64,Good Condition
351,83,351,315,459,Good Condition
352,83,352,120,179,Good Condition
353,83,353,387,295,Service Accepted
354,83,354,429,111,Good Condition
355,83,355,437,153,Service Accepted
356,83,356,7,278,Good Condition
357,83,357,364,226,Service Accepted
358,83,358,245,394,Good Condition
359,83,359,270,454,Good Condition
360,84,360,499,384,Good Condition
361,84,361,194,447,Good Condition
362,84,362,244,132,Good Condition
363,84,363,591,86,Dead on Arrival (DOA)
364,85,364,192,65,Good Condition
365,85,365,525,39,Good Condition
366,85,366,57,83,Dead on Arrival (DOA)
367,85,367,38,324,Good Condition
368,86,368,259,406,Good Condition
369,86,369,565,136,Good Condition
370,87,370,535,335,Good Condition
371,87,371,165,363,Good Condition
372,87,372,255,124,Good Condition
373,87,373,15,168,Good Condition
374,87,374,28,416,Good Condition
375,87,375,570,54,Good Condition
376,88,376,286,112,Good Condition
377,88,377,500,153,Good Condition
378,88,378,106,418,Good Condition
379,88,379,35,368,Service Accepted
380,88,380,344,278,Good Condition
381,88,381,549,203,Service Accepted
382,89,386,308,285,Good Condition
383,89,387,597,346,Good Condition
384,90,388,251,427,Good Condition
385,90,389,239,24,Good Condition
386,90,390,108,340,Good Condition
387,90,391,359,53,Minor Defect - Accepted
388,90,392,235,463,Good Condition
389,91,393,382,255,Good Condition
390,91,394,181,338,Service Accepted
391,92,395,123,75,Good Condition
392,92,396,117,417,Good Condition
393,92,397,147,274,Minor Defect - Accepted
394,93,398,29,361,Good Condition
395,93,399,172,216,Good Condition
396,93,400,366,426,Good Condition
397,94,401,366,87,Good Condition
398,94,402,123,408,Good Condition
399,94,403,102,467,Good Condition
400,94,404,308,158,Good Condition
401,94,405,147,141,Good Condition
402,94,406,444,53,Good Condition
403,94,407,285,280,Good Condition
404,95,408,462,71,Good Condition
405,95,409,230,194,Good Condition
406,95,410,255,398,Packaging Damaged
407,95,411,157,152,Good Condition
408,95,412,10,194,Screen Damaged
409,96,413,103,468,Good Condition
410,96,414,205,209,Good Condition
411,96,415,571,476,Good Condition
412,96,416,335,199,Good Condition
413,96,417,324,430,Good Condition
414,97,418,251,282,Good Condition
415,97,419,359,45,Good Condition
416,98,420,519,231,Good Condition
417,98,421,582,472,Screen Damaged
418,98,422,217,383,Good Condition
419,98,423,551,229,Good Condition
420,99,424,49,87,Good Condition
421,99,425,238,404,Good Condition
422,99,426,421,404,Good Condition
423,99,427,370,230,Good Condition
424,99,428,48,412,Good Condition
425,100,429,183,31,Service Accepted
426,100,430,348,351,Service Accepted
427,100,431,475,113,Service Accepted
428,100,432,258,17,Service Accepted
429,101,433,240,229,Good Condition
430,101,434,432,133,Good Condition
431,101,435,179,360,Good Condition
432,101,436,578,366,Good Condition
433,101,437,4,219,Good Condition
434,101,438,176,134,Good Condition
435,102,439,550,371,Good Condition
436,102,440,474,318,Good Condition
437,102,441,251,319,Good Condition
438,102,442,393,421,Good Condition
439,102,443,141,222,Good Condition
440,102,444,194,457,Good Condition
441,103,445,91,103,Good Condition
442,103,446,80,437,Dead on Arrival (DOA)
443,103,447,11,348,Good Condition
444,103,448,550,190,Good Condition
445,103,449,160,212,Good Condition
446,103,450,570,317,Good Condition
447,103,451,54,228,Good Condition
448,104,452,80,438,Good Condition
449,104,453,474,152,Good Condition
450,105,454,483,455,Packaging Damaged
451,105,455,469,13,Good Condition
452,105,456,424,383,Good Condition
453,106,457,147,58,Good Condition
454,106,458,103,37,Good Condition
455,106,459,290,498,Good Condition
456,106,460,330,149,Good Condition
457,106,461,455,141,Good Condition
458,106,462,242,232,Good Condition
459,107,463,554,326,Service Accepted
460,107,464,501,458,Service Accepted
461,107,465,540,106,Service Accepted
462,107,466,72,370,Service Accepted
463,108,467,264,218,Good Condition
464,108,468,556,238,Good Condition
465,108,469,433,250,Good Condition
466,108,470,23,319,Good Condition
467,109,471,232,207,Good Condition
468,110,472,242,266,Good Condition
469,110,473,165,430,Good Condition
470,110,474,391,407,Good Condition
471,111,475,505,207,Good Condition
472,112,476,375,420,Good Condition
473,112,477,368,214,Good Condition
474,112,478,486,280,Good Condition
475,112,479,69,394,Good Condition
476,112,480,318,92,Good Condition
477,113,481,264,296,Good Condition
478,113,482,308,352,Good Condition
479,114,483,179,64,Good Condition
480,114,484,366,276,Good Condition
481,114,485,574,260,Good Condition
482,114,486,89,151,Good Condition
483,114,487,70,65,Good Condition
484,115,488,424,330,Good Condition
485,115,489,541,377,Good Condition
486,115,490,165,442,Good Condition
487,116,491,488,307,Good Condition
488,116,492,493,174,Good Condition
489,116,493,513,122,Good Condition
490,116,494,237,336,Good Condition
491,116,495,483,276,Good Condition
492,116,496,21,485,Good Condition
493,116,497,390,284,Good Condition
494,116,498,560,254,Good Condition
495,117,499,300,280,Good Condition
496,117,500,23,123,Good Condition
497,117,501,285,452,Good Condition
498,117,502,129,127,Good Condition
499,117,503,553,42,Good Condition
500,118,504,462,291,Good Condition
501,118,505,150,144,Good Condition
502,118,506,400,113,Good Condition
503,118,507,300,177,Good Condition
504,118,508,335,210,Good Condition
505,118,509,538,108,Good Condition
506,118,510,205,217,Good Condition
507,118,511,196,442,Good Condition
508,119,512,558,386,Good Condition
509,119,513,41,217,Good Condition
510,119,514,92,339,Good Condition
511,119,515,222,22,Good Condition
512,119,516,70,178,Good Condition
513,119,517,308,444,Good Condition
514,119,518,13,267,Good Condition
515,120,519,571,252,Good Condition
516,120,520,26,167,Good Condition
517,120,521,375,261,Good Condition
518,120,522,53,423,Good Condition
519,121,523,80,96,Good Condition
520,121,524,408,459,Good Condition
521,121,525,308,37,Good Condition
522,121,526,450,125,Good Condition
523,121,527,424,215,Good Condition
524,121,528,345,384,Good Condition
525,122,529,429,373,Good Condition
526,122,530,274,29,Service Accepted
527,122,531,315,99,Good Condition
528,122,532,320,482,Good Condition
529,123,533,185,228,Good Condition
530,123,534,151,126,Good Condition
531,123,535,244,119,Good Condition
532,124,536,509,132,Good Condition
533,124,537,512,93,Good Condition
534,124,538,406,36,Good Condition
535,125,539,562,105,Rejected - Quality Failure
536,125,540,359,202,Rejected - Quality Failure
537,125,541,301,466,Good Condition
538,125,542,304,43,Rejected - Quality Failure
539,125,543,196,27,Good Condition
540,126,544,128,419,Good Condition
541,127,545,318,109,Good Condition
542,127,546,550,70,Good Condition
543,127,547,123,260,Good Condition
544,127,548,572,190,Good Condition
545,127,549,476,335,Good Condition
546,128,550,30,256,Good Condition
547,128,551,243,219,Good Condition
548,128,552,582,120,Good Condition
549,128,553,210,89,Good Condition
550,129,554,285,358,Good Condition
551,130,555,110,228,Good Condition
552,130,556,103,197,Good Condition
553,130,557,240,133,Good Condition
554,130,558,147,478,Good Condition
555,131,559,231,263,Service Accepted
556,131,560,55,162,Service Incomplete
557,131,561,274,353,Service Accepted
558,131,562,529,235,Service Accepted
559,131,563,248,492,Service Accepted
560,131,564,27,111,Service Accepted
561,131,565,72,205,Service Accepted
562,132,566,125,271,Good Condition
563,132,567,512,316,Good Condition
564,132,568,582,154,Good Condition
565,132,569,508,196,Good Condition
566,133,570,170,283,Good Condition
567,133,571,244,107,Good Condition
568,133,572,346,83,Good Condition
569,133,573,515,297,Packaging Damaged
570,133,574,359,244,Good Condition
571,134,575,588,305,Good Condition
572,134,576,359,243,Rejected - Quality Failure
573,134,577,304,80,Rejected - Quality Failure
574,134,578,196,61,Good Condition
575,134,579,60,371,Rejected - Quality Failure
576,134,580,301,368,Good Condition
577,135,581,56,260,Good Condition
578,136,582,340,277,Good Condition
579,136,583,432,22,Good Condition
580,136,584,519,153,Good Condition
581,136,585,377,89,Good Condition
582,137,586,141,388,Good Condition
583,137,587,80,287,Good Condition
584,137,588,374,25,Good Condition
585,137,589,217,45,Good Condition
586,137,590,102,16,Good Condition
587,138,591,26,276,Good Condition
588,138,592,368,232,Good Condition
589,138,593,33,494,Good Condition
590,138,594,571,277,Good Condition
591,138,595,375,453,Good Condition
592,139,596,210,305,Good Condition
593,139,597,25,42,Good Condition
594,139,598,192,117,Good Condition
595,139,599,441,357,Good Condition
596,139,600,211,230,Good Condition
597,139,601,108,296,Good Condition
598,139,602,30,39,Good Condition
599,140,603,287,10,Good Condition
600,140,604,141,470,Good Condition
601,140,605,550,380,Good Condition
602,140,606,194,205,Good Condition
603,140,607,474,218,Good Condition
604,141,608,55,431,Service Accepted
605,141,609,44,274,Good Condition
606,141,610,475,363,Service Accepted
607,141,611,61,413,Service Accepted
608,142,612,540,179,Service Accepted
609,142,613,39,253,Service Accepted
610,142,614,361,491,Service Accepted
611,142,615,518,51,Service Accepted
612,142,616,351,228,Service Accepted
613,142,617,281,253,Service Accepted
614,143,618,49,344,Good Condition
615,143,619,109,321,Good Condition
616,143,620,170,448,Good Condition
617,144,621,236,17,Good Condition
618,145,622,577,198,Good Condition
619,145,623,439,417,Good Condition
620,145,624,291,225,Good Condition
621,145,625,42,396,Good Condition
622,145,626,79,10,Good Condition
623,145,627,170,37,Good Condition
624,146,628,308,235,Good Condition
625,146,629,572,273,Good Condition
626,146,630,317,355,Good Condition
627,146,631,110,172,Good Condition
628,147,632,103,261,Good Condition
629,147,633,117,49,Good Condition
630,147,634,300,28,Good Condition
631,147,635,579,280,Good Condition
632,148,636,453,36,Service Accepted
633,148,637,233,115,Service Incomplete
634,148,638,532,417,Service Accepted
635,148,639,545,143,Service Accepted
636,148,640,114,197,Service Accepted
637,149,641,530,15,Good Condition
638,149,642,407,472,Good Condition
639,150,644,474,382,Good Condition
640,150,645,182,366,Good Condition
641,150,646,565,259,Good Condition
642,150,647,510,284,Good Condition
643,150,648,399,196,Good Condition
644,150,649,238,242,Good Condition
645,151,650,113,280,Good Condition
646,151,651,196,197,Good Condition
647,151,652,519,225,Good Condition
648,151,653,23,468,Good Condition
649,152,654,406,73,Good Condition
650,152,655,560,39,Good Condition
651,152,656,556,92,Good Condition
652,152,657,548,371,Good Condition
653,152,658,176,261,Good Condition
654,153,659,210,153,Good Condition
655,153,660,450,436,Good Condition
656,153,661,330,350,Good Condition
657,153,662,103,148,Good Condition
658,153,663,165,95,Good Condition
659,154,664,84,73,Good Condition
660,154,665,513,204,Good Condition
661,154,666,237,297,Good Condition
662,154,667,249,379,Good Condition
663,155,668,324,185,Good Condition
664,155,669,399,428,Good Condition
665,155,670,41,366,Good Condition
666,155,671,433,495,Good Condition
667,156,672,42,256,Good Condition
668,156,673,134,131,Good Condition
669,156,674,264,435,Good Condition
670,156,675,551,498,Good Condition
671,156,676,259,147,Good Condition
672,156,677,471,269,Good Condition
673,156,678,444,188,Good Condition
674,156,679,232,141,Good Condition
675,156,680,424,89,Good Condition
676,157,681,491,410,Good Condition
677,157,682,300,374,Good Condition
678,157,683,440,41,Good Condition
679,157,684,493,387,Good Condition
680,157,685,170,307,Good Condition
681,157,686,525,36,Good Condition
682,157,687,62,187,Good Condition
683,158,688,102,318,Good Condition
684,158,689,80,110,Good Condition
685,158,690,352,283,Good Condition
686,158,691,530,232,Good Condition
687,158,692,574,178,Good Condition
688,158,693,179,72,Good Condition
689,159,694,574,320,Good Condition
690,159,695,578,106,Good Condition
691,159,696,84,170,Good Condition
692,159,697,54,488,Good Condition
693,159,698,187,95,Good Condition
694,159,699,159,51,Good Condition
695,159,700,201,246,Good Condition
696,159,701,217,79,Good Condition
697,160,709,16,231,Good Condition
698,160,710,517,261,Good Condition
699,161,711,8,403,Good Condition
700,161,712,57,364,Good Condition
701,161,713,600,109,Good Condition
702,161,714,591,13,Good Condition
703,161,715,439,112,Good Condition
704,161,716,236,297,Good Condition
705,162,717,446,443,Good Condition
706,162,718,111,61,Good Condition
707,163,719,255,399,Good Condition
708,163,720,374,269,Good Condition
709,163,721,170,225,Screen Damaged
710,163,722,319,177,Good Condition
711,163,723,71,240,Good Condition
712,164,724,498,26,Service Accepted
713,164,725,467,381,Service Accepted
714,164,726,220,308,Service Accepted
715,164,727,199,126,Service Accepted
716,164,728,241,429,Service Accepted
717,164,729,276,411,Service Accepted
718,165,730,419,220,Good Condition
719,165,731,438,203,Good Condition
720,165,732,80,473,Good Condition
721,165,733,542,61,Good Condition
722,165,734,210,268,Good Condition
723,165,735,70,371,Good Condition
724,166,736,29,76,Good Condition
725,166,737,205,149,Good Condition
726,166,738,419,499,Good Condition
727,166,739,432,53,Good Condition
728,166,740,493,424,Good Condition
729,166,741,512,184,Good Condition
730,166,742,192,62,Good Condition
731,167,743,558,39,Good Condition
732,167,744,175,198,Dead on Arrival (DOA)
733,167,745,287,157,Good Condition
734,167,746,42,357,Good Condition
735,167,747,242,170,Good Condition
736,167,748,493,308,Good Condition
737,167,749,319,37,Good Condition
738,168,750,399,469,Good Condition
739,168,751,449,35,Good Condition
740,168,752,395,389,Good Condition
741,168,753,357,173,Good Condition
742,168,754,335,222,Screen Damaged
743,169,755,439,99,Good Condition
744,169,756,524,18,Good Condition
745,169,757,59,217,Good Condition
746,169,758,508,374,Good Condition
747,170,759,97,419,Service Accepted
748,171,760,349,335,Good Condition
749,171,761,374,94,Good Condition
750,171,762,146,87,Wrong Item Sent
751,171,763,189,297,Good Condition
752,171,764,103,440,Good Condition
753,172,765,439,259,Good Condition
754,172,766,57,102,Good Condition
755,172,767,13,416,Good Condition
756,172,768,572,164,Good Condition
757,172,769,543,70,Good Condition
758,172,770,153,222,Good Condition
759,173,771,146,43,Good Condition
760,173,772,87,186,Good Condition
761,173,773,490,42,Dead on Arrival (DOA)
762,173,774,530,175,Good Condition
763,173,775,23,196,Good Condition
764,173,776,480,298,Good Condition
765,174,777,196,317,Good Condition
766,174,778,345,38,Dead on Arrival (DOA)
767,174,779,568,312,Good Condition
768,175,780,172,259,Good Condition
769,175,781,597,216,Good Condition
770,175,782,370,471,Good Condition
771,175,783,306,365,Good Condition
772,176,784,407,234,Good Condition
773,176,785,91,86,Good Condition
774,176,786,372,339,Good Condition
775,176,787,505,366,Good Condition
776,176,788,321,54,Good Condition
777,177,789,232,491,Good Condition
778,177,790,185,77,Good Condition
779,177,791,400,238,Good Condition
780,178,792,199,472,Service Accepted
781,179,793,583,112,Good Condition
782,179,794,70,231,Good Condition
783,179,795,210,483,Good Condition
784,179,796,510,162,Good Condition
785,179,797,309,272,Good Condition
786,179,798,227,203,Good Condition
787,180,799,311,395,Good Condition
788,180,800,179,330,Good Condition
789,180,801,449,371,Good Condition
790,180,802,469,278,Good Condition
791,180,803,50,160,Good Condition
792,180,804,572,14,Good Condition
793,181,805,377,168,Good Condition
794,181,806,530,425,Good Condition
795,181,807,480,484,Good Condition
796,181,808,490,438,Good Condition
797,181,809,217,278,Good Condition
798,181,810,146,298,Good Condition
799,182,811,542,81,Good Condition
800,182,812,527,125,Dead on Arrival (DOA)
801,182,813,167,314,Good Condition
802,182,814,565,44,Good Condition
803,182,815,480,414,Good Condition
804,182,816,192,368,Good Condition
805,182,817,597,353,Good Condition
806,183,818,79,454,Good Condition
807,183,819,41,169,Good Condition
808,183,820,413,468,Good Condition
809,184,821,528,203,Good Condition
810,185,822,238,439,Good Condition
811,185,823,13,486,Good Condition
812,185,824,316,137,Good Condition
813,185,825,28,340,Good Condition
814,185,826,4,257,Good Condition
815,185,827,240,74,Good Condition
816,185,828,222,448,Good Condition
817,185,829,179,13,Good Condition
818,186,830,596,90,Good Condition
819,186,831,25,183,Good Condition
820,186,832,396,247,Good Condition
821,186,833,486,284,Good Condition
822,187,834,425,117,Good Condition
823,187,835,158,11,Good Condition
824,187,836,179,340,Good Condition
825,187,837,515,17,Good Condition
826,187,838,201,110,Good Condition
827,187,839,324,18,Good Condition
828,188,840,187,47,Good Condition
829,188,841,75,381,Screen Damaged
830,188,842,481,224,Good Condition
831,189,843,127,442,Good Condition
832,189,844,318,411,Good Condition
833,189,845,439,481,Good Condition
834,189,846,460,223,Good Condition
835,189,847,597,500,Good Condition
836,189,848,424,414,Good Condition
837,189,849,151,157,Good Condition
838,190,850,28,29,Good Condition
839,190,851,509,109,Good Condition
840,190,852,122,118,Good Condition
841,190,853,251,210,Good Condition
842,190,854,125,22,Good Condition
843,190,855,469,385,Good Condition
844,191,856,574,27,Good Condition
845,191,857,543,442,Good Condition
846,191,858,166,237,Good Condition
847,191,859,291,67,Good Condition
848,192,860,551,252,Good Condition
849,193,861,426,403,Good Condition
850,193,862,395,183,Good Condition
851,193,863,449,200,Good Condition
