pr_line_id,pr_id,item_id,qty_requested
155,61,103,33
156,61,329,18
157,62,401,33
158,62,322,99
159,62,94,17
160,63,438,15
161,63,326,57
162,63,324,54
163,63,451,89
164,64,585,100
165,65,27,98
166,65,14,87
167,65,487,24
168,65,443,51
169,65,358,94
170,66,346,62
171,66,112,44
172,66,303,68
173,66,320,2
174,67,49,66
175,67,10,37
176,68,12,32
177,68,77,12
178,68,388,68
179,68,589,100
180,69,138,61
181,69,162,20
182,70,366,80
183,70,579,3
184,71,74,62
185,71,528,75
186,71,488,13
187,72,574,12
188,72,52,5
189,73,390,13
190,73,38,33
191,73,349,22
192,73,303,49
193,73,77,69
194,74,522,66
195,74,166,74
196,75,44,23
197,75,392,33
198,75,159,10
199,76,303,87
200,76,305,92
201,77,309,17
202,77,282,32
203,77,436,71
204,78,52,49
205,78,358,45
206,78,14,74
207,78,540,73
208,79,535,5
209,80,186,92
210,80,341,93
211,81,399,89
212,81,552,32
213,81,439,95
214,81,291,78
215,81,151,75
216,82,436,50
217,82,217,71
218,82,267,48
219,83,513,70
220,83,28,87
221,84,174,27
222,85,475,4
223,85,498,1
224,86,35,15
225,86,355,51
226,86,383,97
227,87,600,8
228,87,426,5
229,87,417,30
230,88,32,19
231,88,78,95
232,88,124,49
233,89,360,99
234,89,533,2
235,89,589,85
236,90,26,10
237,90,174,5
238,90,321,17
239,91,434,43
240,91,430,26
241,91,378,61
242,91,337,9
243,91,220,91
244,92,385,24
245,92,324,23
246,92,237,60
247,93,180,72
248,94,220,56
249,94,95,65
250,94,68,23
251,94,498,3
252,94,36,38
253,95,451,12
254,95,361,16
255,95,180,27
256,95,531,23
257,95,279,95
258,96,565,94
259,96,547,35
260,96,167,77
261,96,293,89
262,96,583,27
263,97,414,85
264,97,402,48
265,97,457,6
266,98,454,96
267,98,449,84
268,98,178,93
269,99,203,61
270,99,572,65
271,100,580,12
272,101,54,78
273,101,529,59
274,102,77,7
275,102,429,70
276,103,383,52
277,103,390,75
278,103,533,79
279,104,512,99
280,104,232,8
281,105,453,16
282,106,469,5
283,106,299,94
284,106,286,21
285,106,293,14
286,107,501,78
287,107,503,52
288,107,133,42
289,107,401,34
290,107,68,71
291,108,22,19
292,108,386,90
293,108,26,37
294,108,360,89
295,109,317,72
296,109,499,45
297,109,547,93
298,109,28,91
299,109,506,90
300,110,310,73
301,110,287,16
302,110,299,79
303,111,91,3
304,111,150,35
305,111,22,29
306,112,109,12
307,112,207,64
308,112,190,48
309,113,36,66
310,113,401,27
311,113,118,1
312,114,471,98
313,114,31,19
314,115,484,80
315,115,439,44
316,116,331,40
317,116,524,96
318,116,155,71
319,117,223,33
320,117,28,14
321,117,237,69
322,118,66,76
323,118,370,55
324,118,382,67
325,118,577,76
326,119,571,52
327,119,325,80
328,120,544,45
329,121,343,85
330,121,485,73
331,122,596,3
332,122,166,8
333,122,113,88
334,122,38,19
335,122,73,51
336,123,505,30
337,123,436,72
338,124,521,94
339,124,263,40
340,125,475,94
341,125,407,1
342,125,477,18
343,126,451,33
344,127,78,52
345,127,368,8
346,127,419,9
347,128,502,10
348,128,102,28
349,128,146,82
350,128,309,12
351,129,494,74
352,130,349,24
353,130,596,78
354,131,159,67
355,131,461,97
356,131,391,68
357,131,34,19
358,131,193,41
359,132,467,37
360,133,525,49
361,134,459,26
362,135,492,97
363,136,22,37
364,136,360,89
365,136,564,40
366,136,388,20
367,136,45,69
368,137,57,56
369,137,22,87
370,137,436,44
371,137,517,35
372,137,389,64
373,138,528,83
374,139,21,18
375,139,369,45
376,139,47,18
377,139,448,76
378,140,338,4
379,140,398,100
380,140,34,8
381,140,106,21
382,140,242,76
383,141,282,93
384,141,488,93
385,141,49,48
386,141,585,40
387,141,73,79
388,142,557,66
389,142,131,25
390,142,531,58
391,142,443,45
392,142,485,85
393,143,398,92
394,143,416,22
395,144,45,15
396,144,217,95
397,144,487,22
398,145,364,72
399,145,539,46
400,145,473,34
401,146,339,87
402,146,3,49
403,147,153,94
404,147,524,96
405,147,146,74
406,148,89,54
407,149,536,86
408,149,115,80
409,149,122,52
410,150,390,13
411,150,369,68
412,151,205,16
413,151,489,60
414,151,370,42
415,152,255,75
416,152,554,81
417,152,451,51
418,153,536,2
419,154,108,37
420,154,391,61
421,155,73,41
422,155,45,72
423,156,527,29
424,156,386,55
425,157,90,18
426,157,329,80
427,157,495,83
428,157,205,27
429,158,39,63
430,159,61,86
431,159,292,79
432,159,239,16
433,159,558,34
434,160,580,46
435,160,334,28
436,160,448,36
437,160,26,6
438,161,487,70
439,162,175,90
440,162,312,4
441,162,382,28
442,163,531,50
443,163,378,71
444,163,540,25
445,164,208,29
446,164,584,44
447,164,95,30
448,164,248,45
449,165,180,98
450,165,361,87
451,165,190,1
452,165,452,20
453,165,401,97
454,166,481,60
455,166,59,38
456,166,153,81
457,166,33,62
458,167,215,2
459,168,427,100
460,168,594,82
461,169,135,87
462,169,181,20
463,169,323,30
464,169,591,1
465,170,379,31
466,170,112,11
467,171,150,98
468,171,553,93
469,171,523,50
470,172,502,47
471,172,318,15
472,173,188,23
473,173,18,23
474,173,471,97
475,173,69,70
476,174,509,87
477,174,490,13
478,174,71,71
479,175,325,45
480,175,314,88
481,175,124,47
482,176,409,49
483,176,562,43
484,176,264,13
485,177,515,51
486,177,120,95
487,177,424,88
488,177,271,65
489,178,361,1
490,178,378,53
491,178,498,6
492,178,322,38
493,178,36,24
494,179,118,3
495,179,420,57
496,180,504,42
497,180,577,7
498,180,207,42
499,181,457,61
500,181,523,6
501,182,10,99
502,182,533,68
503,182,325,96
504,182,45,26
505,183,327,31
506,183,191,23
507,183,429,71
508,183,366,15
509,184,436,15
510,184,230,69
511,185,362,25
512,185,45,78
513,186,334,24
514,186,389,95
515,186,585,80
516,186,174,57
517,186,73,61
518,187,337,40
519,187,385,4
520,188,545,24
521,188,387,14
522,188,452,22
523,189,511,13
524,189,265,8
525,189,453,64
526,189,208,60
527,190,261,76
528,190,565,42
529,190,159,74
530,191,549,28
531,192,324,28
532,193,521,52
533,193,437,23
534,193,366,100
535,194,224,1
536,194,124,57
537,195,133,50
538,195,116,16
539,195,452,15
540,195,281,38
541,196,598,55
542,196,362,46
543,196,582,83
544,196,569,4
545,196,324,88
546,197,332,4
547,197,316,80
548,198,309,88
549,198,282,26
550,198,346,69
551,199,487,6
552,199,361,57
553,199,116,1
554,199,367,44
555,199,241,6
556,200,292,29
557,200,261,98
558,200,397,48
559,201,114,55
560,201,244,32
561,202,147,39
562,202,9,31
563,202,438,1
564,202,84,35
565,203,6,88
566,203,423,24
567,204,131,89
568,205,424,26
569,205,332,29
570,206,564,1
571,206,241,86
572,207,122,70
573,207,440,30
574,207,340,91
575,208,309,77
576,208,22,63
577,208,527,24
578,208,388,39
579,208,78,15
580,209,314,12
581,209,589,15
582,209,174,74
583,210,108,9
584,210,167,37
585,211,16,29
586,211,564,30
587,211,112,88
588,212,549,37
589,213,19,95
590,213,197,69
591,214,47,47
592,214,91,29
593,214,571,17
594,215,67,37
595,215,109,47
596,216,91,7
597,216,580,49
598,216,517,32
599,216,26,84
600,217,5,75
601,218,527,33
602,219,46,92
603,219,200,3
604,220,344,3
605,220,155,1
606,221,549,24
607,221,190,32
608,222,36,58
609,223,325,54
610,223,189,51
611,223,16,9
612,223,390,45
613,224,555,73
614,224,443,2
615,224,68,33
616,225,531,69
617,225,427,27
618,225,326,7
619,225,274,3
620,226,24,40
621,227,554,26
622,227,492,4
623,227,381,19
624,227,518,69
625,227,118,49
626,228,190,92
627,228,342,96
628,228,183,53
629,228,274,66
630,229,75,21
631,229,115,38
632,230,97,46
633,231,236,6
634,231,384,86
635,231,246,87
636,232,342,83
637,232,540,76
638,232,274,57
639,232,423,96
640,233,188,34
641,234,71,24
642,234,466,39
643,234,593,83
644,235,439,41
645,235,232,45
646,236,489,16
647,237,205,45
648,237,87,24
649,238,539,94
650,238,434,27
651,238,52,98
652,238,412,10
653,239,174,80
654,239,403,48
655,239,22,20
656,240,251,80
657,240,141,5
658,240,17,64
659,241,124,75
660,241,12,29
661,241,388,23
662,241,436,33
663,241,389,35
664,242,27,94
665,242,540,55
666,243,549,92
667,243,163,95
668,244,571,64
669,244,525,68
670,245,527,100
671,245,11,97
672,246,525,4
673,247,163,11
674,247,412,82
675,247,19,54
676,248,182,76
677,248,593,21
678,248,533,60
679,249,12,69
680,249,174,35
681,249,112,32
682,249,303,42
683,249,10,82
684,250,133,21
685,250,427,12
686,251,254,55
687,252,268,55
688,252,575,76
689,252,126,1
690,252,486,86
691,253,589,73
692,253,426,37
693,254,309,7
694,254,272,37
695,254,488,59
696,255,112,70
697,255,32,71
698,255,527,55
699,256,305,71
700,257,458,81
701,257,595,80
702,258,515,55
703,259,457,9
704,259,434,5
705,259,181,45
706,260,523,88
707,261,421,77
708,262,431,51
709,262,505,35
710,262,393,31
711,262,530,55
712,263,580,94
713,263,390,20
714,263,282,60
715,264,73,56
716,264,596,87
717,264,11,21
718,264,38,34
719,265,253,36
720,265,110,28
721,265,445,54
722,265,101,56
723,266,152,87
724,266,254,6
725,267,540,1
726,267,306,89
727,267,262,87
728,267,31,35
729,267,227,96
730,268,32,18
731,268,226,5
732,268,370,95
733,269,87,97
734,270,355,61
735,270,322,79
736,271,505,88
737,271,79,55
738,271,558,37
739,271,354,89
740,272,14,85
741,272,6,4
742,273,446,45
743,273,34,34
744,273,240,1
745,274,295,14
746,274,337,89
747,274,336,98
748,275,524,2
749,276,599,83
750,276,355,42
751,277,309,97
752,277,589,73
753,277,346,76
754,277,517,72
755,277,47,26
756,278,63,83
757,278,233,87
758,279,599,69
759,280,518,61
760,280,547,57
761,281,225,77
762,281,123,42
763,281,48,35
764,281,240,100
765,282,313,72
766,283,27,27
767,284,198,55
768,284,324,50
769,284,150,9
770,285,452,65
771,285,196,68
772,286,95,79
773,286,475,26
774,286,540,55
775,286,555,94
776,287,214,63
777,287,296,65
778,287,47,70
779,288,585,4
780,288,74,54
781,288,47,47
782,288,49,79
783,288,230,88
784,289,430,61
785,289,220,19
786,289,19,83
787,290,443,74
788,290,322,83
789,290,342,43
790,291,84,16
791,291,381,12
792,292,29,95
793,292,214,22
794,293,246,5
795,293,273,48
796,294,327,19
797,294,596,2
798,294,157,60
799,295,599,97
800,295,368,80
801,296,164,32
802,296,508,98
803,296,168,93
804,296,219,55
805,297,91,73
806,297,596,80
807,297,230,21
808,298,294,7
809,298,552,79
810,299,334,83
811,299,70,80
812,299,332,4
813,300,452,46
814,300,133,64
815,300,540,18
816,301,8,71
817,301,165,74
818,301,285,8
819,301,246,31
820,301,144,45
821,302,277,76
822,303,53,19
823,303,439,94
824,304,438,37
825,304,365,20
826,304,359,10
827,304,158,30
828,304,343,80
829,305,326,43
830,305,183,9
831,305,405,79
832,305,361,28
833,305,423,19
834,306,142,3
835,306,135,69
836,306,148,39
837,307,207,37
838,307,203,11
839,307,44,80
840,308,95,100
841,308,241,78
842,309,225,90
843,309,289,15
844,309,518,82
845,309,501,2
846,310,392,83
847,311,361,74
848,311,554,97
849,312,428,33
850,312,87,96
851,313,501,36
852,313,584,13
853,313,333,56
854,314,104,8
855,314,548,85
856,314,368,34
857,315,180,8
858,315,539,40
859,315,457,45
860,315,133,35
861,315,14,17
862,316,539,88
863,316,27,94
864,316,443,19
865,316,279,82
866,317,94,49
867,317,152,55
868,317,386,59
869,317,575,63
870,317,579,23
871,318,23,83
872,318,552,57
873,319,378,42
874,319,326,63
875,319,401,33
876,319,279,38
877,320,328,3
878,320,42,41
879,321,427,14
880,321,467,28
881,321,47,91
882,322,459,70
883,323,506,89
884,323,391,5
885,323,58,33
886,324,541,40
887,324,220,87
888,324,414,69
889,325,361,2
890,325,333,96
891,325,172,3
892,326,93,16
893,326,464,98
894,327,310,46
895,327,501,92
896,327,47,100
897,327,83,39
898,328,430,28
899,328,303,37
900,329,391,93
901,329,574,73
902,329,260,42
903,330,379,90
904,330,330,40
905,330,352,75
906,331,349,24
907,331,150,99
908,332,314,56
909,333,517,84
910,333,197,66
911,334,529,56
912,334,21,96
913,335,312,85
914,335,270,30
915,335,94,87
916,335,102,76
917,335,497,72
918,336,562,32
919,337,475,78
920,337,350,35
921,337,492,76
922,337,40,89
923,338,32,91
924,338,112,99
925,338,230,3
926,338,77,7
927,339,498,58
928,340,430,98
929,340,452,45
930,341,475,98
931,341,554,86
932,342,24,42
933,342,149,74
934,343,406,77
935,343,374,67
936,343,275,62
937,344,49,76
938,344,21,69
939,344,166,56
940,344,448,79
941,344,115,51
942,345,92,14
943,345,210,38
944,345,372,98
945,346,44,75
946,347,189,14
947,347,26,95
948,347,497,28
949,347,303,32
950,348,346,34
951,348,580,40
952,349,412,34
953,350,181,7
954,350,116,58
955,351,305,5
956,351,57,30
957,352,182,20
958,352,307,74
959,353,360,92
960,353,10,74
961,354,46,32
962,354,137,88
963,354,219,71
964,354,34,20
965,355,183,26
966,356,508,27
967,356,556,57
968,357,494,30
969,357,271,34
970,357,366,96
971,357,502,27
972,358,77,33
973,359,563,51
974,359,365,77
975,360,585,54
976,360,346,92
977,360,389,7
978,361,517,37
979,361,47,39
980,362,137,32
981,362,392,37
982,362,560,15
983,363,596,65
984,364,112,82
985,364,26,48
986,364,426,72
987,364,150,8
988,365,517,49
989,365,533,91
990,365,525,55
991,366,472,41
992,366,505,64
993,366,275,32
994,367,139,15
995,367,470,96
996,368,385,72
997,368,95,77
998,368,475,38
999,368,5,50
1000,368,457,50
1001,369,401,78
1002,369,364,88
1003,370,489,65
1004,371,133,31
1005,371,402,94
1006,372,480,50
1007,373,45,4
1008,373,309,17
1009,373,57,6
1010,374,232,45
1011,374,99,26
1012,375,570,56
1013,375,160,49
1014,375,343,41
1015,375,416,64
1016,375,316,58
1017,376,47,24
1018,377,441,52
1019,378,535,35
1020,379,156,20
1021,379,52,79
1022,379,208,13
1023,380,75,76
1024,381,341,53
1025,381,516,62
1026,381,90,33
1027,381,399,49
1028,381,287,30
1029,382,113,31
1030,382,43,31
1031,383,523,19
1032,383,475,49
1033,383,427,82
1034,383,326,84
1035,383,46,61
1036,384,189,39
1037,384,166,32
1038,384,75,79
1039,384,421,4
1040,385,154,3
1041,385,12,44
1042,385,113,43
1043,385,389,54
1044,386,124,28
1045,386,325,91
1046,386,533,56
1047,386,388,15
1048,386,113,34
1049,387,390,83
1050,387,497,95
1051,388,405,62
1052,388,322,81
1053,389,187,22
1054,389,84,74
1055,389,297,76
1056,389,391,66
1057,390,301,35
1058,390,129,48
1059,390,438,75
1060,391,404,79
1061,391,152,56
1062,392,91,80
1063,393,493,97
1064,393,138,84
1065,394,546,74
1066,394,373,68
1067,395,26,7
1068,395,386,38
1069,396,390,25
1070,396,285,66
1071,397,543,76
1072,397,2,66
1073,398,13,47
1074,398,585,60
1075,398,332,57
1076,399,362,67
1077,399,268,8
1078,399,466,26
1079,400,63,82
1080,400,15,86
1081,401,146,86
1082,401,215,91
1083,402,377,45
1084,402,273,12
1085,402,395,33
1086,402,350,75
1087,403,518,32
1088,403,281,32
1089,403,133,21
1090,403,295,8
1091,403,67,60
1092,404,513,38
1093,404,84,56
1094,404,121,44
1095,405,55,54
1096,406,421,19
1097,406,38,42
1098,406,21,31
1099,407,59,89
1100,407,76,18
1101,407,357,86
1102,408,2,61
1103,408,456,77
1104,408,260,73
1105,409,380,87
1106,409,192,32
1107,410,327,27
1108,410,487,7
1109,411,499,97
1110,411,400,39
1111,412,180,42
1112,413,580,46
1113,414,109,95
1114,415,141,8
1115,415,419,70
1116,415,280,76
1117,415,292,75
1118,415,198,9
1119,416,563,97
1120,416,502,86
1121,417,524,27
1122,417,334,74
1123,417,177,92
1124,418,102,1
1125,418,438,67
1126,419,97,11
1127,420,560,53
1128,420,447,78
1129,420,168,83
1130,420,175,77
1131,420,377,3
1132,421,584,78
1133,421,568,57
1134,421,106,4
1135,421,437,78
1136,422,532,58
1137,422,518,95
1138,422,27,88
1139,422,95,71
1140,422,405,32
1141,423,39,2
1142,423,153,91
1143,423,414,65
1144,423,280,18
1145,424,131,2
1146,424,361,36
1147,425,169,10
1148,425,134,8
1149,425,17,35
1150,426,53,95
1151,426,344,17
1152,426,593,99
1153,426,541,70
1154,426,25,76
1155,427,20,60
1156,427,593,14
1157,428,475,16
1158,428,442,88
1159,429,57,16
1160,430,127,35
1161,431,498,2
1162,432,120,98
1163,433,236,69
1164,433,8,97
1165,433,270,71
1166,434,300,42
1167,435,272,97
1168,435,596,19
1169,435,527,81
1170,435,166,27
1171,435,325,11
1172,436,472,7
1173,437,294,57
1174,438,593,46
1175,438,330,99
1176,438,250,59
1177,439,535,11
1178,439,285,36
1179,439,514,21
1180,439,509,29
1181,440,153,79
1182,440,172,8
1183,441,577,47
1184,441,189,80
1185,441,543,53
1186,442,320,89
1187,442,406,62
1188,442,535,8
1189,442,215,79
1190,443,225,44
1191,443,171,74
1192,444,408,19
1193,444,530,20
1194,445,281,63
1195,445,364,21
1196,445,402,74
1197,445,555,28
1198,445,133,2
1199,446,437,89
1200,446,313,89
1201,446,399,18
1202,446,126,5
1203,447,221,40
1204,447,68,75
1205,448,189,52
1206,449,136,43
1207,449,577,48
1208,449,292,52
1209,449,558,11
1210,450,120,54
1211,450,114,21
1212,450,368,12
1213,451,45,78
1214,451,519,10
1215,452,345,86
1216,452,83,44
1217,452,130,27
1218,452,553,20
1219,453,315,62
1220,453,499,46
1221,454,497,41
1222,454,32,9
1223,455,156,60
1224,455,180,34
1225,455,225,81
1226,455,241,66
1227,455,5,23
1228,456,95,19
1229,456,434,56
1230,456,427,9
1231,456,540,10
1232,457,238,79
1233,457,107,31
1234,457,493,81
1235,458,577,43
1236,458,32,35
1237,459,95,97
1238,459,535,64
1239,460,203,95
1240,460,525,77
1241,461,333,17
1242,461,437,90
1243,461,469,49
1244,462,11,39
1245,463,550,19
1246,463,238,9
1247,463,491,95
1248,463,400,91
1249,464,60,39
1250,464,222,99
1251,464,66,70
1252,465,421,71
1253,466,342,10
1254,466,549,91
1255,466,241,85
1256,466,208,45
1257,467,421,9
1258,467,390,22
1259,468,75,44
1260,468,12,87
1261,468,124,47
1262,468,91,52
1263,468,47,91
1264,469,522,76
1265,469,495,90
1266,469,468,44
1267,469,245,41
1268,470,314,86
1269,470,386,72
1270,470,78,70
1271,471,201,80
1272,471,236,94
1273,471,587,61
1274,471,304,16
1275,472,560,36
1276,472,486,85
1277,473,405,2
1278,474,11,73
1279,474,402,10
1280,474,349,21
1281,474,528,51
1282,475,208,24
1283,476,11,36
1284,476,571,100
1285,477,503,33
1286,478,363,28
1287,478,100,63
1288,479,373,64
1289,479,468,46
1290,479,27,56
1291,480,14,20
1292,480,208,22
1293,480,220,29
1294,480,423,16
1295,481,473,66
1296,481,405,95
1297,481,67,97
1298,481,156,10
1299,481,295,24
1300,482,116,92
1301,483,571,95
1302,484,14,34
1303,484,487,68
1304,484,451,95
1305,484,46,36
1306,484,156,28
1307,485,337,37
1308,486,154,81
1309,487,82,75
1310,488,446,94
1311,489,115,99
1312,489,309,81
1313,489,525,26
1314,489,527,24
1315,490,446,50
1316,490,428,17
1317,490,526,32
1318,491,379,8
1319,491,400,55
1320,491,260,85
1321,491,590,59
1322,492,52,50
1323,492,531,38
1324,492,67,77
1325,492,313,82
1326,492,252,100
1327,493,557,7
1328,493,264,14
1329,493,238,88
1330,494,264,84
1331,494,149,55
1332,495,557,60
1333,496,411,62
1334,496,126,87
1335,496,570,2
1336,496,309,27
1337,497,10,5
1338,498,250,55
1339,498,341,86
1340,499,220,76
1341,500,305,36
1342,501,160,59
1343,501,189,32
1344,502,426,60
1345,502,448,18
1346,502,16,22
1347,502,38,50
1348,502,11,10
1349,503,399,15
1350,503,168,79
1351,503,380,46
1352,503,368,86
1353,504,556,12
1354,505,192,22
1355,505,353,64
1356,505,3,45
1357,505,167,90
1358,505,209,29
1359,506,391,60
1360,507,224,7
1361,507,600,51
1362,507,472,31
1363,508,74,91
1364,508,404,32
1365,508,113,1
1366,508,600,59
1367,508,386,73
1368,509,351,6
1369,509,135,41
1370,509,116,55
1371,510,354,33
1372,510,365,68
1373,510,323,62
1374,511,534,75
1375,511,61,88
1376,512,315,87
1377,512,218,21
1378,512,504,21
1379,512,368,94
1380,513,219,42
1381,513,417,96
1382,513,551,43
1383,513,170,10
1384,514,527,3
1385,515,238,53
1386,515,409,27
1387,515,411,98
1388,516,207,1
1389,516,80,92
1390,517,364,93
1391,518,84,89
1392,518,329,40
1393,519,273,53
1394,519,149,14
1395,519,406,95
1396,519,176,6
1397,519,206,21
1398,520,289,74
1399,520,381,91
1400,521,419,11
1401,521,69,39
1402,521,195,13
1403,522,259,37
1404,523,358,30
1405,524,501,17
1406,524,171,95
1407,525,527,35
1408,525,47,99
1409,525,38,52
1410,526,369,9
1411,526,458,67
1412,526,229,72
1413,527,594,65
1414,528,287,99
1415,528,386,27
1416,529,450,83
1417,529,153,8
1418,529,516,62
1419,529,544,53
1420,529,490,56
1421,530,233,13
1422,530,16,62
1423,530,118,92
1424,531,22,88
1425,532,598,79
1426,532,440,54
1427,532,30,67
1428,532,534,69
1429,533,424,42
1430,533,338,78
1431,533,309,9
1432,534,212,6
1433,535,446,37
1434,536,340,76
1435,536,541,84
1436,536,556,52
1437,536,104,75
1438,536,7,32
1439,537,469,69
1440,538,318,29
1441,538,118,13
1442,539,67,35
1443,540,518,25
1444,540,221,61
1445,540,241,67
1446,541,416,35
1447,541,251,40
1448,541,218,61
1449,541,281,37
1450,542,289,71
1451,542,274,84
1452,542,452,51
1453,542,385,57
1454,543,315,40
1455,544,244,91
1456,544,596,56
1457,544,483,96
1458,544,329,74
1459,545,68,38
1460,545,414,38
1461,545,381,48
1462,545,313,51
1463,545,337,51
1464,546,516,99
1465,546,512,18
1466,546,201,57
1467,546,364,90
1468,547,207,64
1469,547,267,61
1470,548,432,30
1471,548,486,8
1472,548,149,36
1473,548,400,52
1474,549,274,13
1475,549,414,9
1476,549,487,51
1477,549,221,49
1478,550,487,3
1479,550,523,77
1480,550,337,21
1481,550,181,55
1482,550,279,66
1483,551,29,57
1484,551,479,33
1485,551,363,44
1486,552,22,85
1487,552,149,57
1488,553,572,69
1489,554,190,72
1490,555,30,44
1491,555,125,16
1492,555,24,60
1493,556,144,85
1494,556,512,26
1495,556,147,69
1496,557,546,13
1497,558,269,47
1498,558,213,3
1499,558,333,78
1500,559,175,94
1501,559,95,72
1502,559,519,39
1503,560,181,66
1504,560,523,79
1505,560,475,27
1506,561,254,64
1507,562,156,91
1508,563,346,92
1509,563,45,19
1510,563,525,19
1511,563,403,39
1512,563,517,73
1513,564,21,99
1514,565,189,13
1515,565,346,19
1516,565,369,25
1517,566,469,18
1518,566,214,33
1519,566,384,79
1520,566,466,12
1521,567,57,35
1522,567,525,19
1523,567,580,23
1524,567,369,12
1525,568,245,3
1526,568,170,82
1527,568,543,11
1528,568,558,55
1529,569,485,82
1530,569,163,49
1531,569,423,21
1532,570,396,32
1533,571,429,98
1534,571,550,96
1535,571,582,78
1536,572,440,81
1537,572,507,18
1538,572,65,82
1539,573,537,18
1540,573,150,89
1541,574,152,11
1542,575,287,68
1543,575,399,21
1544,576,548,39
1545,576,567,100
1546,577,413,82
1547,577,317,47
1548,577,579,100
1549,577,98,64
1550,578,525,46
1551,579,225,51
1552,580,589,48
1553,580,525,81
1554,581,600,98
1555,581,91,29
1556,582,241,68
1557,583,442,60
1558,583,119,54
1559,583,599,7
1560,584,522,86
1561,585,314,35
1562,586,16,20
1563,586,78,67
1564,586,497,38
1565,586,12,26
1566,586,230,47
1567,587,528,43
1568,587,600,46
1569,588,496,61
1570,589,183,79
1571,589,355,94
1572,589,414,100
1573,589,131,60
1574,589,313,21
1575,590,355,36
1576,590,364,96
1577,590,6,51
1578,591,426,47
1579,591,16,3
1580,591,77,27
1581,592,473,15
1582,592,414,38
1583,592,171,72
1584,592,361,17
1585,592,531,46
1586,593,342,91
1587,593,567,9
1588,594,40,92
1589,595,427,76
1590,595,364,80
1591,595,295,61
1592,595,27,67
1593,596,590,80
1594,596,162,1
1595,596,428,79
1596,596,207,57
1597,597,53,34
1598,597,444,76
1599,597,489,90
1600,597,25,18
1601,597,134,95
1602,598,45,67
1603,598,360,99
1604,598,389,87
1605,598,16,26
1606,599,11,65
1607,599,403,23
1608,599,75,11
1609,600,371,3
1610,601,349,68
1611,602,201,20
1612,602,406,22
1613,602,121,8
1614,602,391,74
1615,602,592,38
1616,603,68,1
1617,603,357,10
1618,603,230,95
1619,604,355,8
1620,605,190,85
1621,605,68,29
1622,606,567,12
1623,606,303,15
1624,607,525,100
1625,607,109,72
1626,607,517,17
1627,607,346,68
1628,607,389,39
1629,608,517,85
1630,608,277,82
1631,609,3,20
1632,609,316,54
1633,610,36,100
1634,610,405,75
1635,610,116,75
1636,610,248,18
1637,611,141,42
1638,611,362,8
1639,611,566,7
1640,611,344,21
1641,612,584,46
1642,612,555,64
1643,612,405,43
1644,612,501,13
1645,613,579,80
1646,614,57,71
1647,614,125,77
1648,615,156,96
1649,615,158,49
1650,615,569,79
1651,616,443,39
1652,616,364,55
1653,616,452,17
1654,617,313,87
1655,617,539,77
1656,617,116,81
1657,617,52,90
1658,618,487,6
1659,619,32,16
1660,620,596,58
1661,621,251,56
