po_id,vendor_id,pr_id,po_date,currency,exchange_rate,status,total_po_value,department_id,is_emergency_order
43,116,0,10/12/2023,BDT,1,Released,4624640.6,1,0
44,33,1750,1/7/2022,USD,87.89,Released,24786.79,6,0
45,72,51,11/19/2022,BDT,1,Released,2583540.32,1,0
46,36,0,1/12/2023,USD,109.11,Released,75417.47,2,0
47,76,1576,8/7/2020,BDT,1,Released,4713964,1,0
48,114,0,4/26/2023,BDT,1,Released,2778588.96,3,0
49,95,185,4/27/2022,BDT,1,Released,873940.73,4,0
50,18,0,4/24/2021,BDT,1,Released,1306625,3,0
51,80,0,8/11/2022,BDT,1,Released,4338820.83,2,0
52,136,0,7/25/2023,BDT,1,Released,1791605.53,1,0
53,53,1381,10/23/2022,BDT,1,Released,595169.1000000001,2,0
54,96,1596,6/28/2021,BDT,1,Released,2743768,3,0
55,48,833,6/18/2023,USD,110.06,Released,450309.99,6,0
56,37,1982,7/16/2023,BDT,1,Released,5640911.550000001,2,0
57,28,710,6/26/2021,BDT,1,Released,907189,2,0
58,58,47,12/25/2022,BDT,1,Released,6311111.92,1,0
59,51,0,11/17/2021,BDT,1,Released,4250593,6,0
60,58,661,2/16/2022,BDT,1,Released,2801178,1,0
61,83,0,1/17/2021,BDT,1,Released,3530952,3,1
62,69,1076,9/29/2023,BDT,1,Released,4421667.01,3,0
63,15,0,9/11/2020,BDT,1,Released,2116365,5,0
64,149,2462,5/10/2023,CNY,106.54,Released,83968.2,4,0
65,134,1098,11/6/2022,BDT,1,Released,4226487.0600000005,1,0
66,57,1319,9/20/2021,BDT,1,Released,189930,1,0
67,103,1740,9/1/2023,USD,110,Released,180425.18,4,0
68,60,726,10/27/2023,CNY,105.92,Released,123561.23000000001,1,0
69,97,0,8/31/2020,USD,84.99,Released,483022.75,4,0
70,145,1909,5/27/2022,BDT,1,Released,5732162.33,3,0
71,93,1101,2/19/2023,BDT,1,Released,4146489.61,2,0
72,134,80,5/29/2020,BDT,1,Released,1822750,1,0
73,41,1943,5/22/2021,CNY,85.41,Released,149162.17,3,0
74,15,0,7/13/2021,BDT,1,Released,2595497,5,0
75,128,2034,10/24/2022,USD,107.39,Released,238783.78999999998,2,0
76,145,1557,10/27/2022,BDT,1,Released,3368843.8899999997,3,0
77,43,1725,12/31/2020,BDT,1,Released,8872502,4,0
78,130,0,3/8/2020,BDT,1,Released,116513,1,0
79,46,1316,5/4/2021,USD,85.94,Released,25896.850000000002,2,0
80,21,1680,1/22/2023,BDT,1,Released,3110790.2399999998,2,0
81,141,1473,4/28/2023,USD,108.42,Released,858136.2200000001,4,0
82,82,718,1/7/2023,CNY,107.77,Released,482540.43,6,0
83,67,0,12/9/2022,BDT,1,Released,8753761.07,4,0
84,117,0,7/22/2020,BDT,1,Released,3723437,3,0
85,138,0,7/31/2023,CNY,110.19,Released,624631.4,1,0
86,66,0,5/24/2023,BDT,1,Released,2452255.81,5,0
87,81,1682,4/2/2021,BDT,1,Released,3930607,3,0
88,16,238,10/9/2022,BDT,1,Released,3903118,2,0
89,131,1723,12/28/2023,BDT,1,Released,3465627.3000000003,5,0
90,56,1545,6/16/2023,BDT,1,Released,903548.26,5,0
91,3,1,5/30/2022,BDT,1,Released,3212969.2199999997,1,0
92,95,1680,1/22/2023,BDT,1,Released,1204044.64,4,0
93,27,1053,4/29/2022,BDT,1,Released,628798.4199999999,1,0
94,47,532,8/10/2022,CNY,102.44,Released,32440.55,2,0
95,27,1726,8/16/2022,BDT,1,Released,2842074.1799999997,1,0
96,135,1163,1/12/2023,USD,108.33,Released,715301.8999999999,3,0
97,107,118,6/2/2021,USD,85.95,Released,725531.45,4,0
98,3,296,10/7/2022,BDT,1,Released,869683.37,1,0
99,133,101,10/13/2022,BDT,1,Released,3846939.39,3,0
100,14,1587,3/23/2020,USD,85.17,Released,209651.37999999998,5,0
101,150,1904,10/3/2023,BDT,1,Released,734733.4500000001,6,0
102,87,810,6/8/2023,BDT,1,Released,4573477.26,1,0
103,122,241,6/16/2023,BDT,1,Released,4422955.18,5,0
104,106,0,6/23/2022,USD,97.96,Released,776691.23,2,0
105,61,359,10/14/2023,USD,106.26,Released,16082.970000000001,1,0
106,52,2168,8/2/2023,USD,106.27,Released,30656.82,3,0
107,148,2016,10/26/2023,BDT,1,Released,2701243.54,1,0
108,25,0,3/16/2023,BDT,1,Released,3101782.7199999997,3,0
109,26,0,2/9/2021,BDT,1,Released,3626632,1,0
110,1,1356,4/9/2022,USD,88.28,Released,9461.85,6,0
111,37,0,4/15/2020,BDT,1,Released,1849649,2,1
112,9,0,5/5/2021,BDT,1,Released,461403,3,0
113,49,286,11/19/2023,BDT,1,Released,5441186.87,4,0
114,26,953,7/14/2022,BDT,1,Released,1242642.92,1,0
115,47,562,7/8/2023,CNY,110.63,Released,32765.329999999998,2,0
116,131,653,8/31/2023,BDT,1,Released,2454421.89,5,0
117,82,489,4/22/2022,CNY,85.91,Released,122590.23999999999,6,0
118,93,1519,11/5/2022,BDT,1,Released,2321965.1,2,0
119,149,535,4/5/2022,CNY,88.02,Released,87118.83,4,0
120,39,271,8/14/2023,BDT,1,Released,4147158.37,1,0
121,40,763,7/3/2023,USD,107.39,Released,601061.7899999999,5,0
122,76,0,5/9/2021,BDT,1,Released,3320289,1,0
123,67,2401,3/5/2023,BDT,1,Released,4191174.4299999997,4,0
124,17,1794,8/18/2021,USD,85.08,Released,24396.38,4,0
125,44,2107,9/24/2022,BDT,1,Released,777915.41,3,0
126,130,1006,1/6/2023,BDT,1,Released,673416.46,1,0
127,61,0,1/27/2020,USD,85.48,Released,13537.89,1,0
128,90,199,3/18/2023,BDT,1,Released,1939544.3599999999,1,0
129,109,263,3/26/2021,BDT,1,Released,1591835,2,0
130,1,22,7/8/2023,USD,108.51,Released,5926.2,6,0
131,148,0,4/3/2022,BDT,1,Released,2641953.67,1,0
132,30,0,11/11/2020,BDT,1,Released,6700337,5,1
133,84,0,7/19/2021,BDT,1,Released,3089709,2,0
134,132,819,10/23/2023,USD,108.81,Released,109270.59999999999,6,0
135,130,1696,12/5/2023,BDT,1,Released,1870268.8,1,0
136,129,109,9/30/2021,USD,86.08,Released,4401.8,2,0
137,70,2209,10/13/2021,BDT,1,Released,1220187,6,0
138,29,2014,11/12/2023,BDT,1,Released,2165278.88,6,0
139,40,2001,8/16/2022,USD,102.05,Released,766476.54,5,0
140,109,607,9/30/2022,BDT,1,Released,5023834.989999999,2,0
141,122,0,2/21/2022,BDT,1,Released,2881850.81,5,0
142,147,1578,8/22/2022,BDT,1,Released,1859487.27,1,0
143,83,651,9/30/2022,BDT,1,Released,4719533.45,3,0
144,62,244,10/31/2021,USD,85.15,Released,466192.29999999993,3,0
145,5,236,12/30/2022,BDT,1,Released,57761.16,2,0
146,114,166,9/20/2022,BDT,1,Released,5051054.73,3,0
147,56,2435,10/19/2022,BDT,1,Released,3377217.72,5,0
148,56,425,8/16/2023,BDT,1,Released,1472740.29,5,0
149,126,0,9/24/2020,BDT,1,Released,1606613,5,0
150,17,701,7/7/2022,USD,99.69,Released,6626.219999999999,4,0
151,9,512,12/23/2023,BDT,1,Released,818627.77,3,0
152,66,0,6/30/2021,BDT,1,Released,4482403,5,0
153,108,2296,10/4/2023,CNY,108.44,Released,284955.5,3,0
154,127,0,8/23/2021,BDT,1,Released,3893362,6,0
155,121,1865,3/12/2022,USD,86.83,Released,40756.020000000004,4,0
156,22,2012,1/11/2023,BDT,1,Released,3905703.66,3,0
157,104,1857,5/27/2023,BDT,1,Released,6194741.2,3,0
158,133,428,6/5/2022,BDT,1,Released,6488068.85,3,0
159,123,1537,10/28/2022,USD,107.6,Released,124885.67,2,0
160,29,0,2/13/2021,BDT,1,Released,3630532,6,0
161,101,570,3/18/2023,BDT,1,Released,7237606.890000001,3,0
162,128,96,12/26/2023,USD,109.5,Released,81302.65,2,0
163,141,2001,10/5/2022,USD,107.13,Released,246043.46999999997,4,0
164,54,512,12/23/2023,CNY,110.22,Released,321163.83,5,0
165,13,0,10/10/2021,USD,85.66,Released,21401.61,3,1
166,79,366,3/7/2022,BDT,1,Released,2813969.84,1,0
167,134,2066,9/11/2020,BDT,1,Released,3679670,1,0
168,61,936,2/23/2022,USD,86.52,Released,60498.26,1,0
169,44,1705,3/31/2023,BDT,1,Released,5017156.38,3,0
170,34,0,4/10/2020,BDT,1,Released,5061593,2,0
171,77,486,10/30/2021,BDT,1,Released,4613977,2,0
172,99,2115,1/10/2023,BDT,1,Released,2234633.35,6,0
173,23,1950,3/5/2023,BDT,1,Released,1715115.28,2,0
174,60,0,10/17/2020,CNY,84.87,Released,431138,1,0
175,54,2214,1/4/2022,CNY,86.67,Released,96966.33,5,0
176,145,1094,6/20/2023,BDT,1,Released,2966782.5,3,0
177,36,258,3/5/2022,USD,86.21,Released,22268.07,2,0
178,63,530,7/10/2022,BDT,1,Released,1323253.52,3,0
179,41,2370,5/31/2023,CNY,109.73,Released,122669.42,3,0
180,13,1470,5/1/2023,USD,106.95,Released,29448.129999999997,3,0
181,31,1183,5/14/2020,BDT,1,Released,111392,1,0
182,48,698,2/17/2023,USD,106.46,Released,466282.04,6,0
183,104,0,6/22/2021,BDT,1,Released,4750118,3,0
184,145,1433,8/15/2023,BDT,1,Released,7410709.72,3,0
185,143,471,7/24/2022,USD,99.72,Released,282722.98,6,0
186,50,2102,7/27/2021,USD,85.91,Released,39430.270000000004,3,0
187,10,989,6/4/2022,CNY,97.7,Released,279419.34,1,0
188,87,898,12/5/2021,BDT,1,Released,6616936,1,0
189,89,332,8/21/2022,CNY,102.44,Released,98240.1,1,0
190,59,2320,5/31/2020,BDT,1,Released,2510870,5,0
191,103,0,6/14/2022,USD,97.26,Released,280808.61,4,0
192,129,1285,5/12/2022,USD,95.11,Released,77721,2,0
193,94,1646,12/12/2023,BDT,1,Released,2128194.62,1,0
194,144,1572,3/16/2023,USD,107.06,Released,357710.87,6,0
195,98,138,2/25/2022,USD,87.06,Released,5384.45,3,0
196,62,2095,10/19/2022,USD,107.15,Released,99215,3,0
197,57,2097,10/5/2023,BDT,1,Released,3218999.56,1,0
198,8,2360,2/21/2022,BDT,1,Released,1220987.48,3,0
199,18,634,4/1/2023,BDT,1,Released,5469915.609999999,3,0
200,6,1822,12/21/2022,USD,112.79,Released,577387.92,6,0
201,1,1264,7/29/2023,USD,109.84,Released,17744.08,6,0
202,101,1202,4/25/2023,BDT,1,Released,2894402.87,3,0
203,45,0,6/28/2020,BDT,1,Released,3103077,3,0
204,4,1832,5/17/2022,BDT,1,Released,4504177.28,3,0
205,134,530,7/10/2022,BDT,1,Released,3648350.0599999996,1,0
206,67,1143,9/4/2023,BDT,1,Released,5113035.54,4,0
207,42,1611,8/27/2022,USD,102.49,Released,24077.82,3,0
208,126,100,3/18/2023,BDT,1,Released,8330047.4,5,0
209,105,0,12/7/2023,BDT,1,Released,5064522.6,5,1
210,35,1143,12/12/2023,BDT,1,Released,3470187.38,4,0
211,10,1797,12/6/2021,CNY,85.42,Released,44649.119999999995,1,0
212,18,859,12/22/2020,BDT,1,Released,5314132,3,0
213,28,790,5/4/2023,BDT,1,Released,4409257.51,2,0
214,7,1634,9/1/2023,BDT,1,Released,3352508.83,1,0
215,38,1073,12/6/2023,BDT,1,Released,2799454.0300000003,6,0
216,92,0,9/19/2021,BDT,1,Released,3676980,2,0
217,12,1158,12/26/2023,USD,109.64,Released,39914.84,2,0
218,92,506,2/25/2021,BDT,1,Released,1635263,2,0
219,45,0,5/2/2022,BDT,1,Released,5858609.25,3,0
220,110,0,4/11/2023,BDT,1,Released,3761228.7800000003,3,0
221,13,1109,3/25/2023,USD,108.19,Released,33158.97,3,0
222,6,411,9/2/2022,USD,104.73,Released,447219.41000000003,6,0
223,50,387,2/13/2021,USD,85.79,Released,61908.93000000001,3,0
224,61,916,1/19/2020,USD,85.13,Released,17201.14,1,0
225,48,1312,7/27/2023,USD,110.41,Released,176997.24,6,0
226,143,1648,6/18/2023,USD,107.3,Released,272140.61,6,0
227,48,0,12/30/2020,USD,84.61,Released,329309.61,6,0
228,124,1244,4/7/2021,USD,85.57,Released,357111.77999999997,5,0
229,49,0,3/28/2023,BDT,1,Released,4608691.47,4,0
230,67,300,1/24/2022,BDT,1,Released,4058952.48,4,0
231,34,1698,8/1/2023,BDT,1,Released,1843556.27,2,0
232,1,546,7/15/2022,USD,99.83,Released,48089.090000000004,6,0
233,61,1551,1/9/2022,USD,86.73,Released,105050.61,1,0
234,66,1283,4/15/2023,BDT,1,Released,3709434.26,5,0
235,145,986,11/30/2023,BDT,1,Released,425169.38,3,0
236,30,0,1/19/2023,BDT,1,Released,3421160.67,5,1
237,12,106,9/6/2023,USD,108.2,Released,332264.59,2,0
238,19,2397,9/6/2020,USD,85.09,Released,1053661.75,1,0
239,12,1230,11/4/2022,USD,109.96,Released,552824.04,2,0
240,118,717,11/25/2022,BDT,1,Released,2163690.93,2,0
241,60,848,6/26/2023,CNY,107.74,Released,426460.57,1,0
242,120,1431,7/14/2020,BDT,1,Released,771390,3,0
243,114,2390,9/12/2022,BDT,1,Released,3144829.94,3,0
244,150,712,2/17/2022,BDT,1,Released,2483439.61,6,0
245,42,2125,4/7/2023,USD,110.27,Released,104782.97,3,0
246,8,1474,9/2/2023,BDT,1,Released,1583883.1199999999,3,0
247,100,1257,10/16/2023,USD,106.21,Released,53221.87,5,0
248,21,218,6/9/2023,BDT,1,Released,3056258.92,2,0
249,137,487,5/31/2023,USD,106.52,Released,1009.1,2,0
250,36,1201,3/3/2021,USD,84.88,Released,13253.16,2,0
251,2,1808,9/22/2020,BDT,1,Released,3570239,1,0
252,63,2111,2/28/2023,BDT,1,Released,577445.42,3,0
253,23,645,1/12/2022,BDT,1,Released,481294.54,2,0
254,55,2490,10/8/2020,BDT,1,Released,1809078,1,0
255,75,0,1/15/2022,BDT,1,Released,2216781.89,3,0
256,97,832,12/31/2023,USD,109.61,Released,804309.75,4,0
257,110,0,9/30/2022,BDT,1,Released,4342583.35,3,0
258,72,0,6/19/2021,BDT,1,Released,594128,1,0
259,68,412,9/11/2022,BDT,1,Released,3842868.7199999997,1,0
260,123,1055,7/31/2022,USD,100.05,Released,62303.350000000006,2,0
261,35,750,5/23/2022,BDT,1,Released,807032.8099999999,4,0
262,35,803,9/24/2022,BDT,1,Released,2825779.76,4,0
263,20,0,10/10/2020,BDT,1,Released,2876036,4,1
264,70,1726,10/23/2023,BDT,1,Released,930010.5,6,0
265,11,458,7/3/2022,BDT,1,Released,5063716.37,5,0
266,19,1285,12/26/2020,USD,84.83,Released,208097.56,1,0
267,78,2038,8/5/2023,BDT,1,Released,2867983.5,2,0
268,33,2447,11/25/2022,USD,109.87,Released,22865.780000000002,6,0
269,37,1950,3/5/2023,BDT,1,Released,285729.22,2,0
270,98,2427,2/2/2023,USD,111.06,Released,16798.85,3,0
271,23,0,2/12/2021,BDT,1,Released,2054216,2,0
272,64,2192,3/14/2021,BDT,1,Released,1194786,1,0
273,130,1752,8/19/2021,BDT,1,Released,1661449,1,0
274,88,761,4/17/2020,BDT,1,Released,1521675,2,0
275,24,2491,2/11/2023,BDT,1,Released,1223985.6400000001,4,0
276,33,728,5/3/2023,USD,107.22,Released,711.72,6,0
277,106,1349,5/10/2021,USD,85.27,Released,20449,2,0
278,147,0,11/22/2023,BDT,1,Released,898287.33,1,0
279,122,1065,6/1/2022,BDT,1,Released,1031552.6399999999,5,0
280,40,598,5/23/2023,USD,108.72,Released,228938.84,5,0
281,69,2155,12/10/2022,BDT,1,Released,8146626.6,3,0
282,97,109,6/5/2023,USD,110,Released,27822.71,4,0
283,50,1337,8/25/2023,USD,107.76,Released,667719.5599999999,3,0
284,75,0,5/27/2023,BDT,1,Released,2264852.26,3,0
285,91,1788,6/8/2022,BDT,1,Released,2107548.36,6,0
286,2,1495,8/29/2022,BDT,1,Released,5379435.14,1,0
287,19,0,1/31/2021,USD,86.19,Released,107042.67,1,1
288,142,811,11/19/2022,BDT,1,Released,1737213.31,6,0
289,122,738,11/3/2022,BDT,1,Released,6009714.6,5,0
290,69,1751,4/23/2023,BDT,1,Released,6814500.550000001,3,0
291,60,1684,12/25/2021,CNY,85.5,Released,295218.38,1,0
292,145,78,9/28/2022,BDT,1,Released,6354086.6,3,0
293,114,2404,9/21/2023,BDT,1,Released,5624180.97,3,0
294,12,0,12/29/2020,USD,85.36,Released,166775.4,2,0
295,60,1561,2/24/2023,CNY,110.2,Released,809659.6,1,0
296,85,958,12/3/2023,CNY,106.35,Released,103791.69,1,0
297,53,628,3/19/2022,BDT,1,Released,1021110.13,2,0
298,135,987,11/8/2023,USD,107.82,Released,419524.8,3,0
299,92,0,5/25/2020,BDT,1,Released,2135490,2,0
300,25,1709,1/18/2023,BDT,1,Released,3608781.99,3,0
301,67,0,8/26/2023,BDT,1,Released,3846318.41,4,0
302,127,733,12/9/2023,BDT,1,Released,2867160.31,6,0
303,150,2183,4/13/2021,BDT,1,Released,833658,6,0
304,102,1826,5/31/2023,BDT,1,Released,1294710.13,4,0
305,94,0,2/19/2023,BDT,1,Released,4599780.67,1,0
306,73,0,11/27/2020,CNY,84.78,Released,31845.09,6,0
307,147,1891,11/21/2022,BDT,1,Released,425834.26,1,0
308,125,619,7/1/2023,BDT,1,Released,6048039.36,6,0
309,144,0,7/30/2023,USD,106.05,Released,8169.960000000001,6,1
310,1,0,3/24/2021,USD,85.8,Released,56755.7,6,0
311,72,2063,4/1/2020,BDT,1,Released,799392,1,0
312,107,1304,8/14/2023,USD,109.26,Released,216470.52,4,0
313,110,1511,8/23/2020,BDT,1,Released,2528307,3,0
314,114,540,5/11/2021,BDT,1,Released,2501167,3,0
315,143,2403,8/25/2023,USD,110.76,Released,55548.57,6,0
316,91,0,7/23/2020,BDT,1,Released,1905871,6,0
317,86,539,2/24/2023,BDT,1,Released,4729468.49,5,0
318,38,30,9/7/2022,BDT,1,Released,3578279.22,6,0
319,149,0,1/6/2021,CNY,85.65,Released,1071057.1600000001,4,0
320,107,739,9/3/2023,USD,106.47,Released,163917.19,4,0
321,55,725,9/28/2023,BDT,1,Released,2017877.8200000003,1,0
322,24,1056,10/7/2022,BDT,1,Released,4140748.13,4,0
323,103,0,10/5/2020,USD,85.39,Released,1115109.94,4,0
324,127,261,9/23/2021,BDT,1,Released,5524604,6,0
325,83,517,11/4/2023,BDT,1,Released,5218251,3,0
326,131,484,9/4/2023,BDT,1,Released,9015757.47,5,0
327,117,0,7/19/2023,BDT,1,Released,1182656.0899999999,3,0
328,124,610,9/14/2023,USD,107.93,Released,292190.95,5,0
329,124,1393,8/21/2023,USD,108.66,Released,12037.02,5,0
330,25,261,2/4/2023,BDT,1,Released,1458454.79,3,0
331,139,1131,11/3/2022,USD,109.66,Released,583619.45,6,0
332,87,783,1/23/2023,BDT,1,Released,1244112.96,1,0
333,95,380,7/30/2020,BDT,1,Released,510788,4,0
334,12,0,10/2/2023,USD,107.28,Released,94002.91,2,0
335,127,2208,11/30/2021,BDT,1,Released,621190,6,0
336,11,114,5/2/2022,BDT,1,Released,3315703.94,5,0
337,92,221,7/22/2022,BDT,1,Released,3642414.4299999997,2,0
338,138,1171,11/30/2021,CNY,86,Released,974400.78,1,0
339,78,2063,5/2/2021,BDT,1,Released,3538358,2,0
340,22,84,10/30/2023,BDT,1,Released,7081671.97,3,0
341,18,92,12/29/2022,BDT,1,Released,217723.78,3,0
342,110,1389,10/29/2023,BDT,1,Released,440664.32,3,0
343,93,209,6/30/2022,BDT,1,Released,2114320.56,2,0
344,104,2440,2/18/2023,BDT,1,Released,3263942.27,3,0
345,131,1961,9/19/2022,BDT,1,Released,1306450.89,5,0
346,98,182,10/15/2022,USD,107.94,Released,309970.83999999997,3,0
347,31,316,6/11/2023,BDT,1,Released,11912.35,1,0
348,84,1161,8/16/2023,BDT,1,Released,940282.87,2,0
349,36,1970,1/9/2021,USD,84.97,Released,23044.66,2,0
350,126,2173,7/28/2022,BDT,1,Released,1085884.97,5,0
351,9,958,9/9/2022,BDT,1,Released,910956.71,3,0
352,73,858,8/19/2023,CNY,109.3,Released,106271.57,6,0
353,87,856,2/13/2021,BDT,1,Released,2991360,1,0
354,39,350,1/19/2023,BDT,1,Released,2878482.62,1,0
355,55,178,10/21/2023,BDT,1,Released,2240690.7199999997,1,0
356,81,730,7/4/2023,BDT,1,Released,4458878.88,3,0
357,136,1785,11/8/2023,BDT,1,Released,4698772.23,1,0
358,62,2133,3/23/2023,USD,111.43,Released,711180.9600000001,3,0
359,84,703,9/20/2022,BDT,1,Released,1253195,2,0
360,109,2076,9/24/2022,BDT,1,Released,2650383.64,2,0
361,37,0,12/4/2023,BDT,1,Released,2015580.1700000002,2,1
362,9,0,4/21/2020,BDT,1,Released,2288884,3,0
363,60,353,6/21/2023,CNY,106.3,Released,246136.55,1,0
364,127,0,11/18/2022,BDT,1,Released,2307909.72,6,0
365,58,0,8/18/2021,BDT,1,Released,2524396,1,0
366,38,1779,5/1/2023,BDT,1,Released,3914606.0700000003,6,0
367,91,1437,7/16/2023,BDT,1,Released,4985858.78,6,0
368,16,576,10/28/2022,BDT,1,Released,1377754.65,2,0
369,39,1802,2/24/2022,BDT,1,Released,2807063.67,1,0
370,64,427,5/19/2023,BDT,1,Released,3671800.27,1,0
371,79,964,5/1/2021,BDT,1,Released,89999,1,0
372,35,1402,12/2/2020,BDT,1,Released,1442244,4,0
373,62,1519,11/5/2022,USD,109.56,Released,513142.48,3,0
374,142,1844,12/15/2021,BDT,1,Released,3309962,6,0
375,39,1512,9/8/2023,BDT,1,Released,2860951.4699999997,1,0
376,135,2228,4/17/2022,USD,87.03,Released,805586.9700000001,3,0
377,91,0,10/26/2023,BDT,1,Released,3185600.31,6,0
378,11,1276,11/30/2023,BDT,1,Released,4046090.35,5,0
379,11,214,9/2/2023,BDT,1,Released,1855906.58,5,0
380,35,1896,8/15/2023,BDT,1,Released,3467495.5100000002,4,0
381,88,0,1/19/2022,BDT,1,Released,4580979.44,2,0
382,51,0,7/2/2021,BDT,1,Released,587120,6,0
383,31,0,11/12/2021,BDT,1,Released,5423967,1,1
384,21,2126,6/3/2021,BDT,1,Released,3885790,2,0
385,110,964,4/18/2022,BDT,1,Released,5585122.98,3,0
386,62,1008,9/7/2021,USD,85.54,Released,2969.19,3,0
387,99,1974,2/5/2023,BDT,1,Released,4620375.7,6,0
388,107,0,3/23/2021,USD,85.43,Released,31642.149999999998,4,0
389,27,1326,9/12/2021,BDT,1,Released,292820,1,0
390,48,1334,5/21/2020,USD,84.86,Released,29011.42,6,0
391,85,0,2/20/2022,CNY,86.82,Released,81832.53,1,0
392,69,737,7/16/2022,BDT,1,Released,3669723.6799999997,3,0
393,104,2400,9/15/2022,BDT,1,Released,6514075.05,3,0
394,148,921,6/26/2021,BDT,1,Released,6158766,1,0
395,94,1154,3/25/2022,BDT,1,Released,4183282.56,1,0
396,48,2178,8/16/2022,USD,102.7,Released,41382.07,6,0
397,91,2473,10/2/2023,BDT,1,Released,3459228,6,0
398,19,1351,2/2/2023,USD,110.09,Released,1216149.0899999999,1,0
399,47,1829,11/9/2023,CNY,106.76,Released,49204.35,2,0
400,77,2298,12/28/2021,BDT,1,Released,5990754,2,0
401,39,2397,6/17/2022,BDT,1,Released,434698.7,1,0
402,16,1201,12/26/2023,BDT,1,Released,995428.75,2,0
403,105,784,11/7/2023,BDT,1,Released,3848562.08,5,0
404,115,0,4/3/2021,USD,85.46,Released,720405.61,5,0
405,113,0,3/18/2023,BDT,1,Released,3584068.13,6,0
406,16,0,10/28/2021,BDT,1,Released,3737257,2,0
407,7,0,4/21/2022,BDT,1,Released,5226641.890000001,1,0
408,76,1620,6/25/2023,BDT,1,Released,1855025.34,1,0
409,79,0,1/18/2021,BDT,1,Released,6751351,1,1
410,53,708,12/10/2023,BDT,1,Released,4067854.92,2,0
411,10,1663,12/5/2023,CNY,107.97,Released,397861.89,1,0
412,48,2128,3/30/2023,USD,107.2,Released,770745.15,6,0
413,80,2322,7/10/2022,BDT,1,Released,2520808.94,2,0
414,61,1963,5/24/2022,USD,94.53,Released,9448.43,1,0
415,73,0,8/10/2023,CNY,108.58,Released,293313.43,6,0
416,137,961,10/28/2021,USD,84.83,Released,23817.51,2,0
417,145,692,10/7/2022,BDT,1,Released,2058485.99,3,0
418,53,799,10/27/2020,BDT,1,Released,3048178,2,0
419,65,134,12/13/2022,BDT,1,Released,2560420.23,6,0
420,132,2072,6/19/2023,USD,106.59,Released,851717.09,6,0
421,3,440,2/5/2021,BDT,1,Released,1140606,1,0
422,150,1604,6/17/2022,BDT,1,Released,2756995.55,6,0
423,49,1373,1/8/2023,BDT,1,Released,335382.47,4,0
424,106,527,3/9/2021,USD,84.85,Released,173410.93999999997,2,0
425,30,2189,12/31/2023,BDT,1,Released,1246729.68,5,0
426,32,863,12/18/2022,USD,112.96,Released,21602.9,5,0
427,93,701,6/6/2022,BDT,1,Released,3183047.87,2,0
