invoice_id,po_id,grn_id,invoice_date,vendor_invoice_no,invoice_amount,currency,spend_category
117,118,117,2022-11-25,INV-0687,2321963.26,BDT,Inventory
118,119,118,2022-05-31,INV-6408,87119.36,CNY,Inventory
119,120,119,2023-08-22,INV-8395,4147160.19,BDT,Inventory
120,121,120,2023-07-21,INV-7173,601062.02,USD,Capex-IT
121,122,121,2021-05-20,INV-6211,3314329.0,BDT,Inventory
122,123,122,2023-03-13,INV-0481,4191173.75,BDT,Opex-Logistics
123,124,123,2021-08-24,INV-5982,20939.78,USD,Inventory
124,125,124,2022-10-05,INV-8095,691728.99,BDT,Inventory
125,126,125,2023-01-16,INV-0706,673415.87,BDT,Inventory
126,127,126,2020-02-18,INV-6897,13537.89,USD,Inventory
127,128,127,2023-04-13,INV-3324,1939543.66,BDT,Inventory
128,129,128,2021-04-05,INV-6365,1591835.0,BDT,Inventory
129,130,129,2023-07-19,INV-8971,4854.48,USD,Inventory
130,131,130,2022-04-29,INV-5908,2641952.45,BDT,Inventory
131,132,131,2020-11-26,INV-1820,6700337.0,BDT,Opex-Facility
132,133,132,2021-08-08,INV-2747,3089709.0,BDT,Inventory
133,134,133,2023-11-09,INV-0962,109268.96,USD,Inventory
134,135,134,2023-12-17,INV-9270,1870269.42,BDT,Inventory
135,136,135,2021-10-24,INV-4198,4401.8,USD,Inventory
136,137,136,2021-11-01,INV-4098,1220187.0,BDT,Inventory
137,138,137,2023-12-07,INV-4837,2165280.07,BDT,Inventory
138,139,138,2022-10-13,INV-1218,766474.14,USD,Capex-IT
139,140,139,2022-10-11,INV-1823,4982983.26,BDT,Inventory
140,141,140,2022-03-05,INV-9138,2872149.63,BDT,Inventory
141,142,141,2022-09-01,INV-6559,1859486.88,BDT,Opex-Facility
142,143,142,2022-10-19,INV-5133,4719535.01,BDT,Opex-Marketing
143,144,143,2021-11-23,INV-0361,466192.3,USD,Capex-IT
144,145,144,2023-01-16,INV-2206,57761.24,BDT,Inventory
145,146,145,2022-10-06,INV-4863,5051058.43,BDT,Inventory
146,147,146,2022-10-29,INV-9973,3377217.02,BDT,Inventory
147,148,147,2023-08-27,INV-6333,1472740.33,BDT,Inventory
148,149,148,2020-10-19,INV-6839,1606613.0,BDT,Opex-Facility
149,150,149,2022-08-02,INV-2035,6627.65,USD,Inventory
150,152,150,2021-07-18,INV-6690,4482403.0,BDT,Inventory
151,153,151,2023-10-22,INV-4016,284524.82,CNY,Capex-IT
152,154,152,2021-09-03,INV-1880,3510961.0,BDT,Inventory
153,155,153,2022-04-23,INV-2872,34643.21,USD,Inventory
154,156,154,2023-01-19,INV-7914,3559112.53,BDT,Inventory
155,157,155,2023-06-13,INV-0563,6194745.42,BDT,Inventory
156,158,156,2022-06-30,INV-9194,6488069.61,BDT,Inventory
157,159,157,2022-11-21,INV-5110,124885.28,USD,Inventory
158,160,158,2021-03-08,INV-8584,3546824.0,BDT,Inventory
159,161,159,2023-04-12,INV-0168,7237610.23,BDT,Inventory
160,163,160,2022-11-09,INV-5635,246043.83,USD,Capex-IT
161,164,161,2023-12-29,INV-7852,321164.87,CNY,Inventory
162,165,162,2021-10-18,INV-9931,21401.61,USD,Inventory
163,166,163,2022-03-31,INV-1417,2813970.95,BDT,Inventory
164,167,164,2020-09-21,INV-5312,3679670.0,BDT,Opex-Marketing
165,168,165,2022-04-07,INV-1849,56808.41,USD,Inventory
166,169,166,2023-04-08,INV-8079,4852526.24,BDT,Inventory
167,170,167,2020-04-28,INV-2324,4889915.0,BDT,Inventory
168,171,168,2021-11-11,INV-0876,4613977.0,BDT,Inventory
169,172,169,2023-01-18,INV-3948,2234634.85,BDT,Inventory
170,173,170,2023-03-31,INV-6419,1715113.65,BDT,Opex-Facility
171,174,171,2020-11-09,INV-4032,431138.0,CNY,Capex-IT
172,175,172,2022-01-29,INV-5183,96965.03,CNY,Inventory
173,176,173,2023-07-10,INV-4395,2772795.83,BDT,Inventory
174,177,174,2022-04-13,INV-0434,20103.32,USD,Inventory
175,178,175,2022-07-31,INV-8662,1323253.91,BDT,Inventory
176,179,176,2023-06-18,INV-9766,119620.59,CNY,Inventory
177,180,177,2023-05-14,INV-0285,29444.91,USD,Inventory
178,181,178,2020-05-23,INV-9971,111392.0,BDT,Opex-Facility
179,182,179,2023-03-14,INV-6089,466282.31,USD,Inventory
180,183,180,2021-07-17,INV-9084,4750118.0,BDT,Inventory
181,184,181,2023-08-29,INV-6835,7410708.67,BDT,Inventory
182,185,182,2022-09-10,INV-0713,282726.18,USD,Inventory
183,186,183,2021-08-08,INV-0693,39430.27,USD,Inventory
184,187,184,2022-07-22,INV-3172,279419.35,CNY,Capex-IT
185,188,185,2021-12-15,INV-6802,6602866.0,BDT,Inventory
186,189,186,2022-10-18,INV-8709,98238.48,CNY,Capex-IT
187,190,187,2020-06-10,INV-8622,2510870.0,BDT,Inventory
188,191,188,2022-07-18,INV-9988,280808.34,USD,Inventory
189,192,189,2022-06-25,INV-8059,77721.23,USD,Inventory
190,193,190,2023-12-21,INV-5253,2128196.82,BDT,Inventory
191,194,191,2023-04-07,INV-8555,357712.85,USD,Inventory
192,195,192,2022-04-05,INV-5487,5385.24,USD,Inventory
193,196,193,2022-12-07,INV-2270,91462.2,USD,Capex-IT
194,197,194,2023-10-22,INV-0093,3188353.42,BDT,Inventory
195,198,195,2022-03-05,INV-7745,1220985.85,BDT,Opex-Facility
196,199,196,2023-04-14,INV-4575,5469916.13,BDT,Inventory
197,200,197,2023-02-05,INV-6864,577385.9,USD,Inventory
198,201,198,2023-08-07,INV-3002,17744.83,USD,Inventory
199,202,199,2023-05-15,INV-1836,2574583.64,BDT,Inventory
200,203,200,2020-07-16,INV-5489,3103077.0,BDT,Inventory
201,204,201,2022-05-29,INV-1990,4504179.11,BDT,Inventory
202,205,202,2022-07-19,INV-2871,3648350.42,BDT,Opex-Facility
203,206,203,2023-09-13,INV-4058,5113036.44,BDT,Opex-Logistics
204,207,204,2022-10-29,INV-9456,24078.69,USD,Capex-IT
205,208,205,2023-04-06,INV-2065,7745314.77,BDT,Opex-Marketing
206,209,206,2023-12-16,INV-4522,5064519.55,BDT,Inventory
207,210,207,2024-01-02,INV-1630,3470189.7,BDT,Inventory
208,211,208,2021-12-16,INV-2627,44649.12,CNY,Inventory
209,212,209,2021-01-04,INV-2890,5314132.0,BDT,Inventory
210,213,210,2023-06-01,INV-1035,4409257.25,BDT,Inventory
211,214,211,2023-09-12,INV-2459,3282214.79,BDT,Opex-Admin
212,215,212,2024-01-01,INV-6763,2799454.1,BDT,Inventory
213,216,213,2021-10-03,INV-8289,3504062.0,BDT,Inventory
214,217,214,2024-01-02,INV-5252,39915.89,USD,Inventory
215,218,215,2021-03-10,INV-3815,1463432.0,BDT,Inventory
216,219,216,2022-05-23,INV-4364,5530591.89,BDT,Inventory
217,220,217,2023-04-26,INV-6929,3761228.56,BDT,Inventory
218,221,218,2023-04-06,INV-3401,32175.39,USD,Inventory
219,222,219,2022-11-02,INV-8913,447220.92,USD,Capex-IT
220,223,220,2021-02-20,INV-6122,61908.93,USD,Inventory
221,224,221,2020-02-06,INV-0076,17201.14,USD,Inventory
222,225,222,2023-08-20,INV-4951,176998.28,USD,Inventory
223,226,223,2023-07-01,INV-9353,272141.82,USD,Inventory
224,227,224,2021-01-17,INV-3954,329212.03,USD,Inventory
225,228,225,2021-04-27,INV-5542,357111.78,USD,Inventory
226,229,226,2023-04-05,INV-7584,4608692.61,BDT,Inventory
227,230,227,2022-02-06,INV-2360,4058953.87,BDT,Opex-Logistics
228,231,228,2023-08-20,INV-5536,1843558.87,BDT,Inventory
229,232,229,2022-09-07,INV-3757,48087.32,USD,Inventory
230,233,230,2022-02-12,INV-2976,105049.98,USD,Inventory
231,234,231,2023-05-08,INV-3038,3632156.89,BDT,Inventory
232,235,232,2023-12-15,INV-0750,425169.36,BDT,Inventory
233,236,233,2023-02-09,INV-0316,3363376.14,BDT,Opex-Facility
234,237,234,2023-09-13,INV-8338,332264.6,USD,Inventory
235,238,235,2020-09-20,INV-2504,1053661.75,USD,Inventory
236,239,236,2022-12-24,INV-7122,552823.35,USD,Inventory
237,240,237,2022-12-04,INV-3363,2163691.9,BDT,Opex-Facility
238,241,238,2023-07-18,INV-9996,426464.37,CNY,Capex-IT
239,242,239,2020-08-11,INV-1348,771390.0,BDT,Inventory
240,243,240,2022-10-03,INV-2089,3144831.81,BDT,Inventory
241,244,241,2022-02-26,INV-6779,2483441.36,BDT,Opex-Facility
242,245,242,2023-04-22,INV-0469,104782.24,USD,Capex-IT
243,246,243,2023-09-15,INV-7419,1583882.21,BDT,Opex-Marketing
244,247,244,2023-10-27,INV-0807,53218.68,USD,Inventory
245,248,245,2023-06-16,INV-9156,3056260.11,BDT,Inventory
246,249,246,2023-06-10,INV-0673,1008.55,USD,Inventory
247,250,247,2021-03-11,INV-7658,13253.16,USD,Inventory
248,251,248,2020-10-11,INV-2622,3570239.0,BDT,Opex-Marketing
249,252,249,2023-03-24,INV-0818,577443.24,BDT,Inventory
250,253,250,2022-02-07,INV-9274,481295.89,BDT,Opex-Marketing
251,254,251,2020-10-21,INV-2116,1809078.0,BDT,Opex-Admin
252,255,252,2022-01-24,INV-0518,2216779.19,BDT,Inventory
253,257,253,2022-10-16,INV-5792,4342586.0,BDT,Inventory
254,258,254,2021-06-30,INV-9109,594128.0,BDT,Inventory
255,259,255,2022-09-20,INV-1110,3842871.59,BDT,Inventory
256,260,256,2022-09-01,INV-0168,62302.61,USD,Inventory
257,261,257,2022-06-07,INV-7887,807033.42,BDT,Inventory
258,262,258,2022-10-08,INV-3741,2825779.9,BDT,Inventory
259,263,259,2020-11-04,INV-7272,2876036.0,BDT,Inventory
260,264,260,2023-11-11,INV-7355,930010.49,BDT,Inventory
261,265,261,2022-07-19,INV-2704,5063715.5,BDT,Inventory
262,266,262,2021-01-02,INV-0234,184298.92,USD,Capex-IT
263,267,263,2023-08-14,INV-9553,2867982.61,BDT,Inventory
264,268,264,2023-01-25,INV-2139,22866.06,USD,Inventory
265,269,265,2023-03-22,INV-3333,250162.19,BDT,Inventory
266,270,266,2023-02-27,INV-4216,16799.09,USD,Inventory
267,271,267,2021-03-09,INV-5372,2054216.0,BDT,Opex-Marketing
268,272,268,2021-03-23,INV-9828,1194786.0,BDT,Opex-Facility
269,273,269,2021-08-30,INV-4072,1661449.0,BDT,Inventory
270,274,270,2020-05-12,INV-3695,1521675.0,BDT,Inventory
271,275,271,2023-03-07,INV-3973,1223985.73,BDT,Opex-Marketing
272,276,272,2023-05-20,INV-1171,711.72,USD,Inventory
273,277,273,2021-06-04,INV-9695,20449.0,USD,Inventory
274,278,274,2023-12-03,INV-5045,898286.96,BDT,Opex-Marketing
275,279,275,2022-06-13,INV-8847,1031552.28,BDT,Inventory
276,280,276,2023-06-10,INV-4378,228937.56,USD,Capex-IT
277,281,277,2023-01-02,INV-1376,8142562.97,BDT,Opex-Marketing
278,282,278,2023-06-15,INV-5435,26279.68,USD,Inventory
279,283,279,2023-09-02,INV-5544,667718.26,USD,Inventory
280,284,280,2023-06-02,INV-5880,2264850.25,BDT,Inventory
281,285,281,2022-07-02,INV-4908,2107550.5,BDT,Inventory
282,286,282,2022-09-22,INV-4218,5379435.25,BDT,Opex-Logistics
283,287,283,2021-02-09,INV-4345,107042.67,USD,Inventory
284,288,284,2022-12-02,INV-1632,1737212.9,BDT,Inventory
285,289,285,2022-11-16,INV-2056,6009710.55,BDT,Inventory
286,290,286,2023-05-15,INV-6400,6786968.01,BDT,Opex-Facility
287,291,287,2022-01-12,INV-4340,294995.9,CNY,Inventory
288,292,288,2022-10-18,INV-3157,6354085.65,BDT,Inventory
289,293,289,2023-10-20,INV-0052,5414791.04,BDT,Inventory
290,294,290,2021-01-09,INV-1671,166775.4,USD,Capex-IT
291,295,291,2023-03-10,INV-4947,809660.92,CNY,Inventory
292,296,292,2023-12-20,INV-3198,103790.69,CNY,Capex-IT
293,297,293,2022-04-12,INV-6630,872680.07,BDT,Opex-Facility
294,298,294,2023-11-21,INV-4572,419523.05,USD,Inventory
295,299,295,2020-06-02,INV-2857,2135490.0,BDT,Inventory
296,300,296,2023-02-04,INV-6019,3608782.55,BDT,Opex-Facility
297,301,297,2023-09-02,INV-3356,3786068.73,BDT,Opex-Logistics
298,302,298,2023-12-20,INV-1295,2867160.8,BDT,Inventory
299,303,299,2021-04-20,INV-4018,833658.0,BDT,Opex-Marketing
300,304,300,2023-06-23,INV-4067,1294708.8,BDT,Inventory
301,305,301,2023-02-28,INV-1606,4546146.96,BDT,Inventory
302,306,302,2020-12-07,INV-0303,31845.09,CNY,Inventory
303,307,303,2022-12-01,INV-0844,425834.32,BDT,Opex-Marketing
304,308,304,2023-07-13,INV-2352,6048037.56,BDT,Inventory
305,309,305,2023-08-13,INV-5521,8169.77,USD,Capex-IT
306,310,306,2021-04-01,INV-7489,56755.7,USD,Inventory
307,311,307,2020-04-13,INV-8485,799392.0,BDT,Inventory
308,312,308,2023-08-21,INV-0899,216471.66,USD,Capex-IT
309,313,309,2020-09-04,INV-6752,2528307.0,BDT,Inventory
310,314,310,2021-06-06,INV-2548,2501167.0,BDT,Inventory
311,315,311,2023-09-09,INV-7877,55547.98,USD,Inventory
312,316,312,2020-08-14,INV-4030,1905871.0,BDT,Inventory
313,317,313,2023-03-07,INV-7342,4729469.17,BDT,Opex-Marketing
314,318,314,2022-09-26,INV-5086,3578280.5,BDT,Inventory
315,319,315,2021-01-29,INV-2806,1071057.16,CNY,Inventory
316,320,316,2023-09-15,INV-3459,163915.69,USD,Inventory
317,321,317,2023-10-04,INV-9007,2017878.58,BDT,Opex-Admin
318,322,318,2022-10-28,INV-7763,4126397.96,BDT,Opex-Marketing
319,323,319,2020-10-17,INV-5353,1115109.94,USD,Capex-IT
320,324,320,2021-10-03,INV-5682,5524604.0,BDT,Inventory
321,325,321,2023-11-25,INV-9426,5218248.97,BDT,Opex-Marketing
322,326,322,2023-09-10,INV-5076,8375461.45,BDT,Inventory
323,327,323,2023-07-30,INV-8185,1124896.07,BDT,Inventory
324,328,324,2023-10-09,INV-2707,290966.49,USD,Capex-IT
325,329,325,2023-09-03,INV-7020,12037.08,USD,Capex-IT
326,330,326,2023-02-20,INV-8422,1458453.44,BDT,Opex-Marketing
327,331,327,2022-11-30,INV-2366,582624.15,USD,Capex-IT
328,332,328,2023-02-06,INV-9040,1244112.1,BDT,Inventory
329,333,329,2020-08-07,INV-7244,510788.0,BDT,Opex-Logistics
330,334,330,2023-10-10,INV-6387,94002.85,USD,Inventory
331,335,331,2021-12-10,INV-8993,621190.0,BDT,Inventory
332,336,332,2022-05-25,INV-8527,2921730.37,BDT,Inventory
333,337,333,2022-08-02,INV-6879,3642414.49,BDT,Inventory
334,338,334,2021-12-20,INV-6307,974400.78,CNY,Capex-IT
335,339,335,2021-05-13,INV-6964,3538358.0,BDT,Inventory
336,340,336,2023-11-08,INV-9317,6991678.9,BDT,Inventory
337,341,337,2023-01-10,INV-7137,217723.95,BDT,Inventory
338,342,338,2023-11-17,INV-4953,440663.9,BDT,Inventory
339,343,339,2022-07-19,INV-7411,2114320.47,BDT,Inventory
340,344,340,2023-03-05,INV-4075,3263944.01,BDT,Inventory
341,345,341,2022-09-30,INV-0705,1247605.25,BDT,Inventory
342,346,342,2022-12-17,INV-8597,309967.88,USD,Inventory
343,347,343,2023-06-17,INV-8106,11912.52,BDT,Opex-Marketing
344,348,344,2023-09-08,INV-2262,940283.28,BDT,Inventory
345,349,345,2021-01-21,INV-5090,22340.71,USD,Inventory
346,350,346,2022-08-21,INV-2346,1085882.88,BDT,Opex-Facility
347,351,347,2022-09-26,INV-9728,910957.6,BDT,Inventory
348,352,348,2023-08-30,INV-0454,106271.91,CNY,Capex-IT
349,353,349,2021-02-25,INV-7532,2991360.0,BDT,Inventory
350,354,350,2023-01-30,INV-5631,2803411.55,BDT,Inventory
351,355,351,2023-11-02,INV-4637,2240695.17,BDT,Opex-Logistics
352,356,352,2023-07-18,INV-0078,4458876.65,BDT,Inventory
353,357,353,2023-11-27,INV-6976,4576775.48,BDT,Inventory
354,358,354,2023-04-14,INV-5834,711178.99,USD,Inventory
355,359,355,2022-10-14,INV-8367,1253194.9,BDT,Inventory
356,360,356,2022-10-04,INV-2394,2650383.68,BDT,Inventory
357,361,357,2023-12-27,INV-2044,2015581.76,BDT,Inventory
358,362,358,2020-05-05,INV-8369,2288884.0,BDT,Inventory
359,363,359,2023-07-18,INV-9961,246135.77,CNY,Capex-IT
360,364,360,2022-11-29,INV-3767,2307907.51,BDT,Inventory
361,365,361,2021-08-29,INV-4424,2524396.0,BDT,Inventory
362,366,362,2023-05-24,INV-2671,3914603.65,BDT,Inventory
363,367,363,2023-08-06,INV-3016,4985857.61,BDT,Inventory
364,368,364,2022-11-22,INV-2002,1377754.7,BDT,Opex-Admin
365,369,365,2022-03-09,INV-2768,2807061.67,BDT,Inventory
366,370,366,2023-05-29,INV-4849,3495256.07,BDT,Opex-Facility
367,371,367,2021-05-18,INV-6780,89999.0,BDT,Inventory
368,372,368,2020-12-21,INV-6967,1442244.0,BDT,Inventory
369,373,369,2022-12-29,INV-8115,512230.67,USD,Inventory
370,374,370,2021-12-28,INV-1788,3309962.0,BDT,Inventory
371,375,371,2023-09-16,INV-3209,2860949.98,BDT,Inventory
372,376,372,2022-05-23,INV-8155,723576.09,USD,Inventory
373,377,373,2023-11-11,INV-9899,3185601.9,BDT,Inventory
374,378,374,2023-12-28,INV-7300,4046086.74,BDT,Inventory
375,379,375,2023-09-23,INV-5698,1855907.31,BDT,Inventory
376,380,376,2023-09-12,INV-9998,3467493.95,BDT,Inventory
377,381,377,2022-02-14,INV-0039,4517681.17,BDT,Inventory
378,382,378,2021-07-15,INV-0363,587120.0,BDT,Inventory
379,383,379,2021-11-20,INV-9368,5214307.0,BDT,Opex-Facility
380,384,380,2021-06-14,INV-5422,3742327.0,BDT,Inventory
381,385,381,2022-05-10,INV-2360,5585116.37,BDT,Inventory
382,386,382,2021-10-04,INV-4051,2969.19,USD,Inventory
383,387,383,2023-02-12,INV-8772,4620373.8,BDT,Inventory
384,388,384,2021-04-05,INV-3843,31642.15,USD,Inventory
385,389,385,2021-09-26,INV-5195,292820.0,BDT,Inventory
386,390,386,2020-06-06,INV-2479,29011.42,USD,Inventory
387,391,387,2022-03-30,INV-5269,81832.21,CNY,Capex-IT
388,392,388,2022-08-03,INV-4425,3669725.0,BDT,Opex-Marketing
389,393,389,2022-10-09,INV-5148,6381077.33,BDT,Inventory
390,394,390,2021-07-15,INV-9800,6108782.0,BDT,Inventory
391,395,391,2022-04-08,INV-0030,4183283.32,BDT,Inventory
392,396,392,2022-09-30,INV-8276,41382.23,USD,Inventory
393,397,393,2023-10-17,INV-3229,3434588.42,BDT,Inventory
394,398,394,2023-02-13,INV-5671,1216147.17,USD,Inventory
395,399,395,2023-11-26,INV-8375,49203.83,CNY,Inventory
396,400,396,2022-01-08,INV-5388,5907972.0,BDT,Inventory
397,401,397,2022-06-27,INV-2191,434698.85,BDT,Inventory
398,403,398,2023-11-15,INV-2779,3848562.02,BDT,Inventory
399,404,399,2021-04-10,INV-0227,720405.61,USD,Inventory
400,405,400,2023-04-13,INV-5718,3584069.48,BDT,Inventory
401,406,401,2021-11-22,INV-8792,3737257.0,BDT,Opex-Logistics
402,407,402,2022-04-27,INV-8653,4762582.09,BDT,Opex-Facility
403,408,403,2023-07-06,INV-2644,1855026.79,BDT,Inventory
404,409,404,2021-02-10,INV-5646,6058581.0,BDT,Inventory
405,410,405,2023-12-31,INV-6826,4067855.98,BDT,Opex-Facility
406,411,406,2023-12-15,INV-9199,397862.22,CNY,Inventory
407,412,407,2023-04-23,INV-5971,770741.54,USD,Capex-IT
